row	parent	partition	unknowns	equations	deg_x_J	mod_32003	mod_32009	mod_32027	Q	verdict
(33,22;30;8;k=1)	(132,88)	3	28	62	4	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY
(33,22;30;8;k=1)	(132,88)	2+1	29	62	4	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY
(45,30;42;11;k=1)	(180,120)	4	44	100	5	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY
(45,30;42;11;k=1)	(180,120)	3+1	45	100	5	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY
(45,30;42;11;k=1)	(180,120)	2+2	45	100	5	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY
(21,14;18;5;k=1)	(84,56)	2	16	32	3	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY
(21,14;18;5;k=1)	(84,56)	1+1	17	32	3	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY
(15,10;11;2;k=2)	(75,50) V2=2	3	14	34	5	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY
(15,10;11;2;k=2)	(75,50) V2=2	2+1	15	34	5	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY
(15,10;11;2;k=2)	(75,50) V2=2	1+1+1	16	34	5	SATURATED-EMPTY	SATURATED-EMPTY	SATURATED-EMPTY	TIMEOUT	GAP
