emitted_index	block	label	terms	primitive_sha256
0	T2_upper	T2_Rhigh_62_50	16	cf51a2a93d7dfd8cf29dcd6da3f330c8f0345dfb17b6f666fcb49fc37b9da3a4
1	T2_upper	T2_Rhigh_62_51	7	c9a967d0f3c60df2229f9a31969d95780d533c4fc7de15bdbfe7f3c1813647be
2	T2_upper	T2_Rhigh_62_52	9	5d3582ac093e29ab0aae767601da54bd8c83300740a1a06570f3ed003547ed92
3	T2_upper	T2_Rhigh_62_53	10	39cb11a7748fd546c7fdc11b6698ff97416f644ff74a0891d2685aee37531291
4	T2_upper	T2_Rhigh_62_54	12	41cab2f5b262c32cd513011ed483750f6eccaf6312cef420f5b08f30e01327cf
5	T2_upper	T2_Rhigh_62_55	13	dbf06a2a97a8a627981d5933d85dcdd64696160cb7a07f551a1fc1108d0a4300
6	T2_upper	T2_Rhigh_62_56	15	e680e5f0097289c1adaba1b5db6f6738c82ea062a876a329e1071ad270d8836d
7	T2_upper	T2_Rhigh_62_57	15	f521b6b83f2b9db1df76ba3d8c5c9d9816dc0f691eb7b8826f2525b65031f304
8	T2_upper	T2_Rhigh_62_58	11	3528e200a996a6874db64da7a615b9aad10d1a148dc98919d991027379764047
9	T2_upper	T2_Rhigh_62_59	10	67c78f53a076a529203ecd5f89faac375bb11203bd3ebb1e3d3712d09678d5f3
10	T2_upper	T2_Rhigh_62_60	9	2b66c0b5ac99c8394a91bc50ea38baebde7279099e498ed53dd4ce051305973d
11	T2_upper	T2_Rhigh_62_61	7	eae9db16e406aa6e79f475cfd1672b63bad679fe83481bf32b5bc1155fa896b4
12	T2_upper	T2_Rhigh_62_62	6	dccf7ee7f74069805219249fa9ee82ebe4e8acdb3498da18dec48f7e847299f6
13	T2_upper	T2_Rhigh_62_63	4	cf6e7a7a14b108b840b55131525c2bb775d5827284358dffad933dff0b3d0153
14	T2_upper	T2_Rhigh_62_64	3	8bfffd06e91b75ff62d94f5c1c32b09810f1babd63b996bcae45c0bdebd2d72d
15	T2_upper	T2_Rhigh_62_65	1	430c7b5154327d7d8290c3d0ac316705336e5d8dc028b149741769cdb4528453
16	T2_upper	T2_Rhigh_63_49	21	65fbdcc23ac9043210166e741dd067f70c283e4385bd693e7973e64dd4cb1cef
17	T2_upper	T2_Rhigh_63_50	20	8f087ff309d15438481296d84f48d730ca71e10c0410c7220c669f7c6c6cef48
18	T2_upper	T2_Rhigh_63_51	23	bd5cf3ae2348ebd2d1c57e87a37774178527be91eba5b930a617f3faf1417af2
19	T2_upper	T2_Rhigh_63_52	26	36628a6a446a533262fe976ee1a4bda0248d01b38d3e240a9aaa63bd1cc34639
20	T2_upper	T2_Rhigh_63_53	29	ed2e5534a44a7b7ae5d7170561e0b240759f36cdc63f7fd127a4f9d7b6d8547e
21	T2_upper	T2_Rhigh_63_54	32	a801c245c7126cc41e5d524114c779ce7b596db85f882112006faf5762b086e3
22	T2_upper	T2_Rhigh_63_55	35	700013ba792f3474757e07b99b30f8bb58b8eae8d7b904386b5f14d15bed159c
23	T2_upper	T2_Rhigh_63_56	38	f0ba2b7eaf2384c2994659ead16e5b994fd9c04d589351180b834f2f02b81d49
24	T2_upper	T2_Rhigh_63_57	37	a5d7cd02b28236af8e3bca3898cae038c29860e8174f967e0b92cfc178b632fd
25	T2_upper	T2_Rhigh_63_58	32	76605ea69a6ffaae12eb38ff6f8c3a7348db2acc6d223822791e7fc40d05f830
26	T2_upper	T2_Rhigh_63_59	20	18bcd449a10383e91e99d04f09446626ef9e994f285e2544b6e16f0d1170d094
27	T2_upper	T2_Rhigh_63_60	17	516e6676b59d637505fbc8764b4edf0cba0b40e46cd26a6ffc92eeea98315fcd
28	T2_upper	T2_Rhigh_63_61	14	dce2b353934765635fe42e68d16f713c9824fced5e2530b0460cc51c7b57005d
29	T2_upper	T2_Rhigh_63_62	11	31bbb88a3bf32adf82de9aae7ae63aef6a725b5ae64ca2a15eda0bd48ffbc80b
30	T2_upper	T2_Rhigh_63_63	8	095e63aa1a0a8dfe42e1e9850bd28f97107d098b2daa282c94836bd029833884
31	T2_upper	T2_Rhigh_63_64	5	77dca459c706c9c127b99baa31a506d33ffc16c0cff97ca3c1f2e069157e7f1c
32	T2_upper	T2_Rhigh_63_65	2	e9e4d3305817f06d13b6c209b5061faf17b67adc13712096377d21d685e691b8
33	T2_upper	T2_Rhigh_64_48	8	bb00176fc23d5dfa3810e1e65150cf353d0fcefdf7d27922fc49df5d199352ee
34	T2_upper	T2_Rhigh_64_49	15	a67626b8c8f549a910a7e3aa37ed40c02171bfa5d8a2c32ce14439fcad27f4ca
35	T2_upper	T2_Rhigh_64_50	20	7829d9ea3320d7f9210376775d10b2f63665d1fb8621985557171cea12be19b8
36	T2_upper	T2_Rhigh_64_51	24	779805809fb57cc680f889d076c695e577d31b5cc90a463ef7ccf32e5364aaaa
37	T2_upper	T2_Rhigh_64_52	29	080843638a98da344c3f6e1cc413e566ff6da30b9c61da8d0bf92f9b26718c93
38	T2_upper	T2_Rhigh_64_53	33	c982aa53236c8bde63b7c298e58aebf527edc2be5b72ef9379bcdd5e7399b134
39	T2_upper	T2_Rhigh_64_54	38	6435ad7ab34d42b9143fe25230d08956264f53be41e85b89a7346b4e652556cc
40	T2_upper	T2_Rhigh_64_55	42	a025fd220a84dd26e9e70f4c8c7db2110bf918115c158f8fd580e8711499e4b3
41	T2_upper	T2_Rhigh_64_56	46	257ee4d4732dabc5b67a8d3a91b64721eef81e0981a6fa79333f0ab1cfb7327f
42	T2_upper	T2_Rhigh_64_57	44	f9a4f70ee14c5202d53bcd233c070218dcebb001d44f79a75365af06eced7550
43	T2_upper	T2_Rhigh_64_58	33	af79672f3657166ef897a5995b2ced3e9b7eb51dd07e23b1ce37be4201adc5b3
44	T2_upper	T2_Rhigh_64_59	28	0337e9b86faa13cb99c8773a456a47e11152ba4e692c438980cf92f09dd4c74b
45	T2_upper	T2_Rhigh_64_60	24	7fe14a2ca24528374c61de19b50a5b33521051a28110ce62b5a6dd291794adc1
46	T2_upper	T2_Rhigh_64_61	19	7783afd14ef472edbf9336cacfb0e7322d3ab1cd4d21029817f5bd4e259723cd
47	T2_upper	T2_Rhigh_64_62	15	d218fff6a3cefdae12ca04156913b8105ebd656295c318ce59cd1b267192efcf
48	T2_upper	T2_Rhigh_64_63	10	f9d9c03dc153ab8b41aa1710caf83dc04df50841da5338a1a5f87854fafc1890
49	T2_upper	T2_Rhigh_64_64	6	eee39f31fa6388c3dd6cdfe05a2622f970de9b672bbfa9496e0fa8661d62d5d6
50	T2_upper	T2_Rhigh_64_65	2	f3b2080a7f84a68870be677e1c5dfdb13bb532bcdd9aaacb208ef17973c50c6d
51	T2_upper	T2_Rhigh_65_48	52	f8b0d8a6211d01d9ac2c675a6e23917efb6924b2f0ed5621821f8112188670f9
52	T2_upper	T2_Rhigh_65_49	36	dd7fb9bada8565e377604286e50a9a66304e85efc99b826b732b224ae6311a7e
53	T2_upper	T2_Rhigh_65_50	44	aef62159e246262418c3d0eddc78dfcd07035d6503a9fb88a3751808a3778f3c
54	T2_upper	T2_Rhigh_65_51	52	1b177e07ee48f43e796a2b91997894f3bb79f013a5bcd3357e74681487a3fefa
55	T2_upper	T2_Rhigh_65_52	60	dedf8a30765983cecb8287330ba5fb24bd5d5b6212cd5132d3e9ce12f7748ae1
56	T2_upper	T2_Rhigh_65_53	68	eae10aad9a99ae0d5b59d033716064ab0d03e51f748f65ac064f46d9e0dba74d
57	T2_upper	T2_Rhigh_65_54	76	ee9aa4f2d2bf7ffbf9f3e5f29a46544ff0efe146f2cf5fbf0aabc71c5476d662
58	T2_upper	T2_Rhigh_65_55	82	bc3f7c661ff6f055610b2765ad5c3f1dd023b074f591ce7b6230acacd05165c6
59	T2_upper	T2_Rhigh_65_56	79	a4c0c43d2bc5fa996feac89a0f38e9c8822960b8a31d45433bc89dc2f4127be6
60	T2_upper	T2_Rhigh_65_57	59	5b8d7519da8a8085d346766fcfdbb15ec3adc8c313e8479e595475cfb6cb416c
61	T2_upper	T2_Rhigh_65_58	51	a1af9a92b260269b288781399974a0167788c624414b7e0467a8b9ca3dba45fa
62	T2_upper	T2_Rhigh_65_59	43	2766c90f317af7b168808a48d1d0451cdcbde90ed1ae1c6404727ce2fce09207
63	T2_upper	T2_Rhigh_65_60	35	fb4f5b80ea52e1fe4a09da7b16d6c1ddf42bf5af6132a1f4b2f6e4a3acc2bd64
64	T2_upper	T2_Rhigh_65_61	27	3e124505b814641fb4a84c838e1fa84dec9527d41868a38b4e8e348407c4096b
65	T2_upper	T2_Rhigh_65_62	19	35f66f4ac47836621c209b46e627ded8dedba524c68dd858dec1caa6b09c9559
66	T2_upper	T2_Rhigh_65_63	11	cf6756a61eabb0ce97372e046fa8a5ff0d78485955d102b5f23c322e245cdb24
67	T2_upper	T2_Rhigh_65_64	5	5bb226c5aa970eb63e1eccc96af06e860a332c6db53922f792f5c9fee2e10072
68	T2_upper	T2_Rhigh_65_65	2	6801b841275d7ca61713a827eb9b6fa0f30be094aa9dc7018f3047e3f846c7d0
69	T2_upper	T2_Rhigh_66_47	65	b49d775f264db9ab6f564f88a2cd1db416fc3a2218847e081d1d1106f291d75c
70	T2_upper	T2_Rhigh_66_48	66	0d6bd6ccb939125120f4ed51af1ee1056e9977356959b026a133ec5678398a31
71	T2_upper	T2_Rhigh_66_49	78	c21b4e7dc33cd71362654534c287c09e7200a2f53f24e193ed7f8f06277639b8
72	T2_upper	T2_Rhigh_66_50	91	84b1303543ad2859c8c0275d8eed9ef4e1db14d61e8ec663186402767d17b267
73	T2_upper	T2_Rhigh_66_51	103	99ef212203baf0500fbda55bc2120715ab837f2675c1ae536ca4d4d44181372e
74	T2_upper	T2_Rhigh_66_52	116	8c7cddddf1add9038a4adabdbb2ee4acfa6fd173ec2f99c79fdc4c4c685be508
75	T2_upper	T2_Rhigh_66_53	128	aa948f8a058a65c437f16679970b4ad6af0bb290a6124987b7a23a3fdbc7d603
76	T2_upper	T2_Rhigh_66_54	140	17ce616d434a98b4f13ac118e6d47ac25db718edf20ee9feb8176f82c19b860e
77	T2_upper	T2_Rhigh_66_55	141	111a43d2b1d5795569bf6474aee9ac99cf6eb88f72159d15c8914284e45f7fd0
78	T2_upper	T2_Rhigh_66_56	100	7d53496c9688ee0f344b3837a4ec1bfd134eacc7c3d6f29be77c2df47b3f3705
79	T2_upper	T2_Rhigh_66_57	81	915d7a88258092153d7535763d17a26705278caf4870ab92f9a78dd7b3376a74
80	T2_upper	T2_Rhigh_66_58	69	8d8c007b37b8f9f4fd8d6377a91ddea3d61cfe5054ca699ec6ed990f8f977431
81	T2_upper	T2_Rhigh_66_59	56	68a2b41cf62b548bcb80b3f91d6f2be04144d80bcc3d74952fc84a99f6a4aa8a
82	T2_upper	T2_Rhigh_66_60	44	99fe4b0a6a7f5cf9657d793d9a8f7332de660de3ca40876e699270823430b326
83	T2_upper	T2_Rhigh_66_61	31	5127c1c7be6d2c0fb1e48dc666ff8b05f55521401586346aad849a371b549525
84	T2_upper	T2_Rhigh_66_62	19	ff96cdbdcac4ba1df0691d01ecf0b5c8c8c6e6734b64fd04a72b81899200478a
85	T2_upper	T2_Rhigh_66_63	8	7b2afb605690cbf30bf1a1bfde9176f74a410929991a10c32a7623c7f733c6d7
86	T2_upper	T2_Rhigh_66_64	3	bfe2f714af89514ced77ee36aa4732c909865ce91a25b5df07aa174aeb015683
87	T2_upper	T2_Rhigh_67_46	31	b366214e72cbd7b1ed37ef4a7c2e25e13791cabea5140f7d5898018103d8b896
88	T2_upper	T2_Rhigh_67_47	65	0290cbc328403a3af71a6960e808d658d835643527c7815fd128eec3f8cdfa41
89	T2_upper	T2_Rhigh_67_48	82	08e703a36ac61bba30049cb4654a1d426bf2653cc86945345cc100eae0116d47
90	T2_upper	T2_Rhigh_67_49	99	8fc8dddfdf16cfb46594460d345c1fc57ba9939aba540f81e496ca3475f5cf35
91	T2_upper	T2_Rhigh_67_50	116	4babfda7f94149715d8a5f4b6d7c4abd17c085df2e37980d88367a733e3f818f
92	T2_upper	T2_Rhigh_67_51	133	1527438dae71ef95349d0fc6d56ff3acb2fd1284b0df9442e9cc0292991917b1
93	T2_upper	T2_Rhigh_67_52	150	a72636887b1ee176aa7c55870c1ced6f82f5ebc6f7acd8aa06a511e870348250
94	T2_upper	T2_Rhigh_67_53	167	1762b12bf4c0d22e121b2c4c96057b02c99a63c774197c19a07cb01126f99245
95	T2_upper	T2_Rhigh_67_54	178	7c8803fc871cb0067b1cc902e3d655dc27d5308a2179abf5984c4b06d178cfa4
96	T2_upper	T2_Rhigh_67_55	147	e33e25bb75ad4e05751946c7340ed1d40c1fff6d47a29fc046e5d41c47cb9505
97	T2_upper	T2_Rhigh_67_56	115	78297486029d827a8de610105fb39ebae95ed6107db8bdfc13ae1441a021a2e0
98	T2_upper	T2_Rhigh_67_57	98	68c634540e29a123bae67793583ed54f2274e9b6fbbfcf374a5d7009c587d785
99	T2_upper	T2_Rhigh_67_58	81	97e3362fda2bb830ae05a3fda85942669c037f39d2b4217fa861de7284ce778f
100	T2_upper	T2_Rhigh_67_59	64	d5f1c725aae37f5ceba3f9cd8764e555d96109f41df9badbf0bb6d7ff4dff84d
101	T2_upper	T2_Rhigh_67_60	47	da22ec2a9089b5be71fdb0dc6a360bf03b3d1aeddbfc312bdd137e72c1ff3ce9
102	T2_upper	T2_Rhigh_67_61	30	c3b6e96b068e2b68a258ef30e0eb3067e015f38f3874a7b58a76578e6e0a839e
103	T2_upper	T2_Rhigh_67_62	15	b9f0aa3c34a7b28025f369a0dc8f45b1d7a8dddff17baca57b010a500f81c82a
104	T2_upper	T2_Rhigh_67_63	5	f9c5517124d56b3fafbbf7563bec3c9f7a7874d44ef46e9825af4bacce567cd5
105	T2_upper	T2_Rhigh_68_45	8	d5c10e582bcd93d916769e7463d5be4f6360c4c4c9e94d51363951fc2c06ff01
106	T2_upper	T2_Rhigh_68_46	94	8f42d9114f8a23124c8d77332db4887fd0f32f76475eaae14ebd5f520e67ed11
107	T2_upper	T2_Rhigh_68_47	97	68a34703e6dda5e3694a1ae70ffe82deb4b8c83ea03bd4d1d503df1e153aa93e
108	T2_upper	T2_Rhigh_68_48	122	0e907090babd424b60e3c7458e8d11148c831bafbab080530195bc83a8d82a3c
