== (10)_1 ALONE, D in [48,120] ==
       D     V-skel   V:(10)_1     groups   g:(10)_1    g:+knap
      48       1301        207         50         42         23  1s
      54        514         42         40         31         10  0s
      60       3623        608        110        101         45  11s
      63        438         25         30         20          5  0s
      64       2417        408         84         71         48  1s
      66        390         21         25         17          2  0s
      72      15694       2165        316        287        205  47s
      75        682         68         40         36         13  0s
      78        558         24         30         18          2  0s
      80      16074       2429        496        435        179  44s
      81        764         49         40         31         12  0s
      84      10748       1366        207        185        106  137s
      88        550         39         35         22          5  0s
      90      30107       3699        577        496        261  188s
      96     130186      23278       1113       1053        744  737s
      99       1180         62         50         36         18  0s
     100      26873       3585        732        641        217  88s
     102        984         36         40         30          6  0s
     104        786         51         42         29         11  0s
     105       5037        310        264        203         46  0s
     108      85205      11229        824        776        586  949s
     110       1890        105        120         77         10  0s
