STAR EXISTENCE by Nullstellensatz (Groebner over QQ, saturated at kappa != 0)
(d,e,V)     a_1   b_1   #TRUNC  #GB       verdict      secs    
(2, 3, 1)   3     2     0       1         REALISABLE   0.0     
(2, 5, 1)   5     2     0       1         REALISABLE   0.0     
(2, 7, 1)   7     2     0       1         REALISABLE   0.0     
(3, 4, 1)   4     3     1       3         REALISABLE   0.0     
(3, 5, 1)   5     3     1       3         REALISABLE   0.0     
(3, 7, 1)   7     3     1       4         REALISABLE   0.0     
(2, 3, 2)   6     4     2       3         REALISABLE   0.0     
(2, 5, 2)   10    4     2       5         REALISABLE   0.1     
(2, 7, 2)   14    4     2       10        REALISABLE   0.2     
(4, 5, 1)   5     4     2       9         REALISABLE   0.0     
(4, 7, 1)   7     4     2       15        REALISABLE   0.1     
(5, 6, 1)   6     5     3       29        REALISABLE   0.1     
(5, 7, 1)   7     5     3       44        REALISABLE   0.2     
(2, 3, 3)   9     6     4       8         REALISABLE   0.2     
(2, 5, 3)   15    6     4       48        REALISABLE   8.4     
