row	tuple	K	u	dprime	eprime	delta1	chart	top	unknowns	equations	modular	exact
(64,48)	(16,12;13;3;1)	4	1	3	4	1/4	k16_hadic_order	fixed	18	23	32003:SATURATED-EMPTY,32009:SATURATED-EMPTY,32027:SATURATED-EMPTY	SATURATED-EMPTY
(75,50) V2=2	(15,10;11;2;2)	5	3	2	3	4/3	d2e3_ab	fixed	16	42	32003:SATURATED-EMPTY,32009:SATURATED-EMPTY,32027:SATURATED-EMPTY	SATURATED-EMPTY
(75,50) V2=3	(15,10;11;3;2)	5	2	2	3	1/2	d2e3_ab	fixed	13	22	32003:SATURATED-EMPTY,32009:SATURATED-EMPTY,32027:SATURATED-EMPTY	SATURATED-EMPTY
(84,56)	(21,14;18;5;1)	7	2	2	3	1/3	d2e3_ab	fixed	16	31	32003:SATURATED-EMPTY,32009:SATURATED-EMPTY,32027:SATURATED-EMPTY	SATURATED-EMPTY
(112,80)	(28,20;25;3;1)	4	1	5	7	2/7	k16_hadic_order	fixed	27	37	32003:SATURATED-EMPTY,32009:SATURATED-EMPTY,32027:SATURATED-EMPTY	SATURATED-EMPTY
(125,75)	(25,15;21;2;2)	5	3	3	5	7/5	generic_D1_monomial_count	D1-only	148		NOT-RUN[counting-bound before standard-basis emission]	COUNTING-BOUND
(132,88)	(33,22;30;8;1)	11	3	2	3	1/3	d2e3_ab	D1-only	31	62	32003:TIMEOUT,32009:SKIPPED,32027:SKIPPED	COUNTING-BOUND
(147,98)	(21,14;15;6;4)	7	1	2	3	0	d2e3_ab	fixed	12	23	32003:SATURATED-EMPTY,32009:SATURATED-EMPTY,32027:SATURATED-EMPTY	SATURATED-EMPTY
(160,112)	(40,28;37;3;1)	4	1	7	10	3/10	k16_hadic_order	fixed	36	51	32003:TIMEOUT,32009:SKIPPED,32027:SKIPPED	COUNTING-BOUND
(168,112) drop1	(24,16;18;7;4)	8	1	2	3	0	d2e3_ab	fixed	13	26	32003:SATURATED-EMPTY,32009:SATURATED-EMPTY,32027:SATURATED-EMPTY	SATURATED-EMPTY
(175,100)	(35,20;31;2;2)	5	3	4	7	10/7	generic_D1_monomial_count	D1-only	207		NOT-RUN[counting-bound before standard-basis emission]	COUNTING-BOUND
(175,125)	(35,25;31;3;2)	5	2	5	7	3/5	generic_D1_monomial_count	fixed-if-licensed	149		NOT-RUN[counting-bound before standard-basis emission]	COUNTING-BOUND
(180,120) drop1	(45,30;42;11;1)	15	4	2	3	1/3	d2e3_ab	D1-only	48	None	NOT-RUN[counting-bound before standard-basis emission]	COUNTING-BOUND
(180,144)	(30,24;25;4;3)	6	2	4	5	2/5	generic_D1_monomial_count	fixed-if-licensed	143		NOT-RUN[counting-bound before standard-basis emission]	COUNTING-BOUND
(189,126) drop1	(27,18;21;8;4)	9	1	2	3	0	d2e3_ab	fixed	14	29	32003:SATURATED-EMPTY,32009:SATURATED-EMPTY,32027:SATURATED-EMPTY	SATURATED-EMPTY
(192,128)	(24,16;17;2;5)	8	6	2	3	8/3	d2e3_ab	D1-only	41	None	NOT-RUN[counting-bound before standard-basis emission]	COUNTING-BOUND
(196,56)	(49,14;46;4;1)	7	3	2	7	5/7	generic_D1_monomial_count	D1-only	197		NOT-RUN[counting-bound before standard-basis emission]	COUNTING-BOUND
(200,120)	(50,30;47;7;1)	10	3	3	5	2/5	generic_D1_monomial_count	D1-only	230		NOT-RUN[counting-bound before standard-basis emission]	COUNTING-BOUND
