state_index	canonical_label	presentation_signature
0	q7_compatible	18ac4e142faaacb63ad83f82078537f41b291f1c0cc842ee7d70d9405ba86040
4700	q7_compatible	990ae27959b4a33e3e4291ca6defdc45562441de5cf4f59b54d1c1bd12587bf8
61889	q7_compatible	f8e0cedc63a80279c9422c7dab898a62f178442f775988edecad856438e07450
120535	q7_compatible	0ed7d626ecfe72bf1467eac1e2de54d714e0431d43149d23aaa929b5735e1bb2
177723	q7_compatible	f2e85f0c892fe278e9f2b3a927a858e505446b59838d1486634eb2979ff4f500
236370	q7_compatible	70573cd14b47c955d95c6fd831b903debaa71eea7d431bef9164bd2e2d32af6c
241070	q7_compatible	53eab1d452c425fdcd81373557b19a3fd5a1c7234a24583ec0472e6bafa97c2e
299717	q7_compatible	685bcea17a9732832de7b33c1a13d3312f9220ec7e792b400f059c2e2a6b465f
356905	q7_compatible	b1d568ea655b20fd1274a52d95def123aa9d349167ad2550cda3515882877894
415551	q7_compatible	a94fbccee0678a26f6a48d5ee45eec3e37eb96e65fe251724c44467a3ab10aff
472740	q7_compatible	5edadb8b83cda95b38023c119ccd9ee06aa6f82618aeadf24de49256d89d9372
477440	q7_compatible	8e67969db3709c75edea5ddfa252343a484b4adbd465635c2b7f4a60dc607110
729	q7_incompatible	f5c47151de6df0814885f24b148463594419d0510304c8e0cd247eef27343520
16463	q7_incompatible	bbbec90eeac4bacd915613811a9cb2cf1b838a0e98979dd22abebdd82f765e4c
72345	q7_incompatible	9990fe679c54ee7489bcd2f269f8df3e3c158b26e72b2d772c32a66efc97ee48
128228	q7_incompatible	0d6c38f955b98d2b6244d39a68b848bda85cee89c9d70cb0ad9fee595bacca85
184056	q7_incompatible	2f2362a4d1d5afda9c5c75c878c06ce9bda2f72f49f02e277d9eeb91acd85816
239210	q7_incompatible	9ebd011c418829a656ca60299929bcfab67575ea16f9edd235dc14a7bba0f0c2
254268	q7_incompatible	d32c6ba061da168c2423df445d0117445442139462c3026875e36d04ff4f7901
310151	q7_incompatible	651f462391a00702417e8af2fed864c55a36c58676707aa99a4a7d07236f6cf3
365979	q7_incompatible	4c62de1a26b18e1654b1d06f51d301d32eb27896def4de22bce6af7fdd566b19
421862	q7_incompatible	6134f32b994a6a19662014c1386f42fd5fd63bcbeda99f6a53d7e1de2cc897a1
477744	q7_incompatible	9aa957a808905d1faa2d75aad28c3ce0c579c1bb5eaea9f5a8b23bfdf0a47180
492020	q7_incompatible	688700e0144ac8584759275e6946e2e7a0780a1283e2209429baf741f7ed3694
