utc	launcher_pid	singular_count	singular_rss_kib	mem_available_kib	swap_used_kib
2026-08-28T04:40:56Z	380865	0	0	514881296	0
2026-08-28T04:41:16Z	380865	0	0	514972916	0
2026-08-28T04:41:36Z	380865	0	0	514473024	0
2026-08-28T04:41:56Z	380865	6	8448240	504504852	0
2026-08-28T04:42:16Z	380865	6	15030692	498061860	0
2026-08-28T04:42:36Z	380865	6	20837192	492451012	0
2026-08-28T04:42:56Z	380865	6	25789744	487635112	0
2026-08-28T04:43:16Z	380865	6	28436856	485094728	0
2026-08-28T04:43:36Z	380865	6	30341360	483334860	0
2026-08-28T04:43:56Z	380865	6	31672540	482051624	0
2026-08-28T04:44:16Z	380865	6	33082712	480709280	0
2026-08-28T04:44:36Z	380865	6	34415340	479470032	0
