label	exact_rank	canonical_core_sha256	q65519_RESULT_sha256	q65519_compiled_sha256	q65519_EVIDENCE_sha256	q65521_RESULT_sha256	q65521_compiled_sha256	q65521_EVIDENCE_sha256
i1_j0	0	d7b8b0d7f6d43160a495ab7f68131cf6a7e9b5082761e63f771a6b2391c3c04c	80cedea3c3d5c1e3041619effa207671d844469451dededc49fb00e5360f7652	1818e916f81d88950b1ff4878649cc6208ac7be3af486e1e4c02234c377ee687	8a696edaf73ed2523aba118e3c88f2e3198b6a9302c0b2fdcb60ca62558e0648	9bd9f6a02358c706b1f857a0552c0e23ae1c33e16d469f1719602e60fe02e71a	1799fcdfa00da2f86f369b52a645780a4e66f8f29f8653c117b6d4e74e074020	31810e31919a8a5c403dbedd1b9535b9a0b9da5d993100c40bd20dbd7f882891
i1_j1	0	7048759ac650274b6268d4a9752923645f487d493d24e6bf385a1ee65c669050	c203c50ad460ed668012433ba11b22235fdd8b8b885fd1f72c14e3cdd7ee3d30	6e4c6427f9647d5564fd5c6f88d5ee36567a2005e1f95de81f764ac2a64fe45d	31dd897fc139bfce04001902737e1c8cc528e5ad45f430f6eacc416c527a23e8	2616f726c851068920d8bf9cf6f29b63a39e381d4871ff04ac15ac9b99891732	082b999ea5d6b043ba9c3ae70067183716599c697fc5de976abf13b646b5566a	125315ae038761834d67db97cec73ae6ec91cd1c22da653f8e72d1be24f60df3
i1_j2	0	ea5b9742f033aa853621fe2cc4c30490e7229a2fa84c589644239a7cd11fc01e	ee46f1c05f1b7703c76d2a57cd2bec386176f0559f6b8e157fd64675ca4d2103	7135bb213380bee5b98a706f77f11988f947b78a936eab477248ca910b4e5950	bc4a6c1a31c9239d471da0bbefc64e1949b955afd759fbfa47543e7ccdb59d2a	80bf1f05422814557d5ccd7d11069d0f4331cb2e0ce660427b4ba368dbffdb9c	20dee6b177aad0dca1a1cb3363f0811169c7d210d342c246e76da146862c1530	ee628ba2c7d59b39d28e04a3000fa0640132d618d2474df44119c736ebc6a045
i1_j3	0	5bdaf7c823d53f39b9e8566ed7fabea95fe01332e84a916b786103e1f5ca0959	7aa28255ea591b8a0a99807e4ebd140971e0a20f01a71757f1329cc4647601bb	9b1834a0f16a4825affd52d710dfc073208efea0721eb42c45f791d71b74b8f9	a769ecb2e6faccd155d00ccff25fd55f9c895e46f859c5a9beb2628467e6094a	ec02a4a6b22cfcfcfcad0c1134213a36ce887b083720645c9669808d3d433ca4	b2dd8af50fe160843aca52a8faab40b49feb15654e56b2d8a464fb37434bb071	bfb17da41e3d28dbce9b53b79196cd28aa45a15395406c8689386d2a86d32820
i1_j4	0	94562e5d66e1be00eec5c21ac3ad7f8edd9d4fc145cfff742cb7b2c57592a115	cff3182f5d585f1f830062724f1c2cd7bb1695a9b38f83a2874ec8756cd53a1d	1c75efa38369d32888ff785259526e9f6a466ec830fbe20f78676b7a108634a8	00b76c4720eddae3723f387f68f232282ba84b100bafdf5fbb1ad02e1bd3ff7c	e047f2b2b5bf905e6607eb9a64ae2e0a132a98f1cc3f0ce524936a1fe44792f9	ad12bff862b4cd0bf6a7a265226e4890583ba275c6618a104e72d077fb7c52d1	23a174ebbe9e436c73fd7a51f63ea9fe5230fe317bb4b055d69954d95366998d
i1_j5	0	4fee05761b67eeb95e0e1af8b6e2f03b49801b9d6e8f07656687d13c1d7506e8	fb598f16c3f6f7ed413a814cecfcd09f0690a757bd09556a6192bf77cb140838	14ff818536b796515958efee309b7fe2c121b1c81d8bb4efdda508478a085009	0bc7671313a30aa31063279caa0f3f574876af7a5673a021e3914ada1fc4371b	d828674cf0de28ae6b514931cce262c281141ca038f934859c37fce409c50230	757f096bcdf5a5f529b0cdb493c7efbc5803bcbe38d3f9e44cd891b11a6e7ea2	60ec802fd09b75b7045cbb007fd668fcd25116e36ca84d0dee2d470195d0e428
i2_j0	0	b09f01a012cc219ce02be1826e65743eded867b99cb06dfdab2d27210c4c7157	39fc31dfc8d36e4f53e2997eadd3d805771d1cea4b7d1cc4200a4a59abd98e84	e108cb78e09df91ef581d1253b2c6ccc9dc5a3cc8a583567d643aa74a15f4c25	620227c50d06904f1a92829e4a7967c5b020ad7a915b35766f1ae6f97ab59672	c5f5708953a454ff5b60b62311e266823c69040bbe6b6df8bba5f86bfeae8236	3067e995048612091d56f25fe30456d629cd8274294b6e2069b072e09ce5a49e	bcdb22846ea124be88e4f6082dfbbebc4abc81a688d7005cd04b2afddfb8f3e0
i2_j1	0	d4dce69813f2ed0f7c3bdf1ea893dab88dd2577c77db82e2db2b1e51b27d21db	dfe6659e25aa296ab8333c2f4fbc0d4f5be2bab8cd40a0e2b0fe23ef020da1ad	0a64f0dcb3db4386ce808b861994382920191b049693c35e126796251ca7ab07	23694b85591ac13a820d4111b1c5f0175e200cf4299e4b922f9a0264fec47a4d	0b628c92811c0dc00fa9db3154ac96fd8650e2993d1654715e868d70cb8f5b25	57f9bdf2350397b33ce106b6f9861a9304cb5a1d9dc62a4aa13be975461f3fc7	ad008fe87b389ff654b374cfe586bc83085d0915afedfdb85bb2f8fcf66c9af2
i2_j2	0	3282a08fdf7f96b26d1668682b0015f1c76086bce89eb97c440b27da1483a256	292d4111e674f9f0484dd045998bd9ce992e5928014b8ead2f9d1cc0ca7d945b	fca894c06f83ab5ebe6d97b8116d13af3ffe0904190858e79e58e62bbe6afc21	01e7f561150dbfeb807c3f7fd898855ccc6ccf2f735bf9e1956f591ace39d370	08a685187c859e433714d5553916937f71114c58a539a393feb876343b13a206	b0e8c1dde5cbf406f1368cd486350240dc3668bf18acb3d5b984c08eadb0a1b1	0ba0b30245df4b1f524901e40c9ee1b432391668dae2350636fbfd4128fb3840
i2_j3	0	5aa33a86114d7265b61549b11bc11fe1a97545b1cd30565af9414b0a57ef8727	9371c50544e2de45d365fc0716cfeb481ff5f5380de990a9de2d0dc600703ace	06dcde96b8bdf1f3fe0e4ff2e5415ddab0698b3deb37973a10f9a3e5d0143d6d	d4d0c60735d552c7dfc34d4be47caf4bfa3e74074107f3e91321c9adcbfdd0a3	484bad22e174a36bfc2ef9815834e98c92de41760c09201b122e7b34d63d94ed	930edd80ab48969b55b1a292e9cdb7f2997258b6488617346b1836b5b52d616d	d449db98a1687074ec4bec9bb1f1f63e72a37c3b812ca911d04856d9d83b08d5
