snapshot_utc=2026-08-27T18:31:41Z
               total        used        free      shared  buff/cache   available
Mem:     532329013248  5150863360 528422834176     3080192  2767650816 527178149888
Swap:              0           0           0
    PID    PPID STAT ELAPSED   RSS %CPU COMMAND         COMMAND
      1       0 Ss    246708 13740  0.0 systemd         /usr/lib/systemd/systemd --system --deserialize=74
      2       0 S     246708     0  0.0 kthreadd        [kthreadd]
      3       2 S     246708     0  0.0 pool_workqueue_ [pool_workqueue_release]
      4       2 I<    246708     0  0.0 kworker/R-rcu_g [kworker/R-rcu_gp]
      5       2 I<    246708     0  0.0 kworker/R-sync_ [kworker/R-sync_wq]
      6       2 I<    246708     0  0.0 kworker/R-kvfre [kworker/R-kvfree_rcu_reclaim]
      7       2 I<    246708     0  0.0 kworker/R-slub_ [kworker/R-slub_flushwq]
      8       2 I<    246708     0  0.0 kworker/R-netns [kworker/R-netns]
     11       2 I<    246708     0  0.0 kworker/0:0H-ev [kworker/0:0H-events_highpri]
     13       2 I<    246708     0  0.0 kworker/R-mm_pe [kworker/R-mm_percpu_wq]
     14       2 S     246708     0  0.0 ksoftirqd/0     [ksoftirqd/0]
     15       2 I     246708     0  0.0 rcu_sched       [rcu_sched]
     16       2 S     246708     0  0.0 rcu_exp_par_gp_ [rcu_exp_par_gp_kthread_worker/1]
     17       2 S     246708     0  0.0 rcu_exp_gp_kthr [rcu_exp_gp_kthread_worker]
     18       2 S     246708     0  0.0 migration/0     [migration/0]
     19       2 S     246708     0  0.0 idle_inject/0   [idle_inject/0]
     20       2 S     246708     0  0.0 cpuhp/0         [cpuhp/0]
     21       2 S     246708     0  0.0 cpuhp/1         [cpuhp/1]
     22       2 S     246708     0  0.0 idle_inject/1   [idle_inject/1]
     23       2 S     246708     0  0.0 migration/1     [migration/1]
     24       2 S     246708     0  0.0 ksoftirqd/1     [ksoftirqd/1]
     26       2 I<    246708     0  0.0 kworker/1:0H-ev [kworker/1:0H-events_highpri]
     27       2 S     246708     0  0.0 cpuhp/2         [cpuhp/2]
     28       2 S     246708     0  0.0 idle_inject/2   [idle_inject/2]
     29       2 S     246708     0  0.0 migration/2     [migration/2]
     30       2 S     246708     0  0.0 ksoftirqd/2     [ksoftirqd/2]
     32       2 I<    246708     0  0.0 kworker/2:0H-ev [kworker/2:0H-events_highpri]
     33       2 S     246708     0  0.0 cpuhp/3         [cpuhp/3]
     34       2 S     246708     0  0.0 idle_inject/3   [idle_inject/3]
     35       2 S     246708     0  0.0 migration/3     [migration/3]
     36       2 S     246708     0  0.0 ksoftirqd/3     [ksoftirqd/3]
     38       2 I<    246708     0  0.0 kworker/3:0H-ev [kworker/3:0H-events_highpri]
     39       2 S     246708     0  0.0 cpuhp/4         [cpuhp/4]
     40       2 S     246708     0  0.0 idle_inject/4   [idle_inject/4]
     41       2 S     246708     0  0.0 migration/4     [migration/4]
     42       2 S     246708     0  0.0 ksoftirqd/4     [ksoftirqd/4]
     44       2 I<    246708     0  0.0 kworker/4:0H-ev [kworker/4:0H-events_highpri]
     45       2 S     246708     0  0.0 cpuhp/5         [cpuhp/5]
     46       2 S     246708     0  0.0 idle_inject/5   [idle_inject/5]
     47       2 S     246708     0  0.0 migration/5     [migration/5]
     48       2 S     246708     0  0.0 ksoftirqd/5     [ksoftirqd/5]
     50       2 I<    246708     0  0.0 kworker/5:0H-ev [kworker/5:0H-events_highpri]
     51       2 S     246708     0  0.0 cpuhp/6         [cpuhp/6]
     52       2 S     246708     0  0.0 idle_inject/6   [idle_inject/6]
     53       2 S     246708     0  0.0 migration/6     [migration/6]
     54       2 S     246708     0  0.0 ksoftirqd/6     [ksoftirqd/6]
     56       2 I<    246708     0  0.0 kworker/6:0H-ev [kworker/6:0H-events_highpri]
     57       2 S     246708     0  0.0 cpuhp/7         [cpuhp/7]
     58       2 S     246708     0  0.0 idle_inject/7   [idle_inject/7]
     59       2 S     246708     0  0.0 migration/7     [migration/7]
     60       2 S     246708     0  0.0 ksoftirqd/7     [ksoftirqd/7]
     62       2 I<    246708     0  0.0 kworker/7:0H-ev [kworker/7:0H-events_highpri]
     63       2 S     246708     0  0.0 cpuhp/8         [cpuhp/8]
     64       2 S     246708     0  0.0 idle_inject/8   [idle_inject/8]
     65       2 S     246708     0  0.0 migration/8     [migration/8]
     66       2 S     246708     0  0.0 ksoftirqd/8     [ksoftirqd/8]
     68       2 I<    246708     0  0.0 kworker/8:0H-ev [kworker/8:0H-events_highpri]
     69       2 S     246708     0  0.0 cpuhp/9         [cpuhp/9]
     70       2 S     246708     0  0.0 idle_inject/9   [idle_inject/9]
     71       2 S     246708     0  0.0 migration/9     [migration/9]
     72       2 S     246708     0  0.0 ksoftirqd/9     [ksoftirqd/9]
     74       2 I<    246708     0  0.0 kworker/9:0H-ev [kworker/9:0H-events_highpri]
     75       2 S     246708     0  0.0 cpuhp/10        [cpuhp/10]
     76       2 S     246708     0  0.0 idle_inject/10  [idle_inject/10]
     77       2 S     246708     0  0.0 migration/10    [migration/10]
     78       2 S     246708     0  0.0 ksoftirqd/10    [ksoftirqd/10]
     80       2 I<    246708     0  0.0 kworker/10:0H-e [kworker/10:0H-events_highpri]
     81       2 S     246708     0  0.0 cpuhp/11        [cpuhp/11]
     82       2 S     246708     0  0.0 idle_inject/11  [idle_inject/11]
     83       2 S     246708     0  0.0 migration/11    [migration/11]
     84       2 S     246708     0  0.0 ksoftirqd/11    [ksoftirqd/11]
     86       2 I<    246708     0  0.0 kworker/11:0H-e [kworker/11:0H-events_highpri]
     87       2 S     246708     0  0.0 cpuhp/12        [cpuhp/12]
     88       2 S     246708     0  0.0 idle_inject/12  [idle_inject/12]
     89       2 S     246708     0  0.0 migration/12    [migration/12]
     90       2 S     246708     0  0.0 ksoftirqd/12    [ksoftirqd/12]
     92       2 I<    246708     0  0.0 kworker/12:0H-e [kworker/12:0H-events_highpri]
     93       2 S     246708     0  0.0 cpuhp/13        [cpuhp/13]
     94       2 S     246708     0  0.0 idle_inject/13  [idle_inject/13]
     95       2 S     246708     0  0.0 migration/13    [migration/13]
     96       2 S     246708     0  0.0 ksoftirqd/13    [ksoftirqd/13]
     98       2 I<    246708     0  0.0 kworker/13:0H-e [kworker/13:0H-events_highpri]
     99       2 S     246708     0  0.0 cpuhp/14        [cpuhp/14]
    100       2 S     246708     0  0.0 idle_inject/14  [idle_inject/14]
    101       2 S     246708     0  0.0 migration/14    [migration/14]
    102       2 S     246708     0  0.0 ksoftirqd/14    [ksoftirqd/14]
    104       2 I<    246708     0  0.0 kworker/14:0H-e [kworker/14:0H-events_highpri]
    105       2 S     246708     0  0.0 cpuhp/15        [cpuhp/15]
    106       2 S     246708     0  0.0 idle_inject/15  [idle_inject/15]
    107       2 S     246708     0  0.0 migration/15    [migration/15]
    108       2 S     246708     0  0.0 ksoftirqd/15    [ksoftirqd/15]
    110       2 I<    246708     0  0.0 kworker/15:0H-e [kworker/15:0H-events_highpri]
    111       2 S     246708     0  0.0 cpuhp/16        [cpuhp/16]
    112       2 S     246708     0  0.0 idle_inject/16  [idle_inject/16]
    113       2 S     246708     0  0.0 migration/16    [migration/16]
    114       2 S     246708     0  0.0 ksoftirqd/16    [ksoftirqd/16]
    116       2 I<    246708     0  0.0 kworker/16:0H-k [kworker/16:0H-kblockd]
    117       2 S     246708     0  0.0 rcu_exp_par_gp_ [rcu_exp_par_gp_kthread_worker/2]
    118       2 S     246708     0  0.0 cpuhp/17        [cpuhp/17]
    119       2 S     246708     0  0.0 idle_inject/17  [idle_inject/17]
    120       2 S     246708     0  0.0 migration/17    [migration/17]
    121       2 S     246708     0  0.0 ksoftirqd/17    [ksoftirqd/17]
    123       2 I<    246708     0  0.0 kworker/17:0H-e [kworker/17:0H-events_highpri]
