exponent	raw_terms	raw_sha256	remainder_terms	remainder_sha256	lambda_prime_rows	denominator_factor
2	2	816da33cd8e77b035740b7811e56d9ac8742160974a690506dec35d9b002d6a0	2	1acfd5c0169b466d16c6d87de34b3ec0f5b78f6bb073a6191e9bed2ac36775b3	14	(1/4, [(U, 1), (4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1), (C - 3*U^2, 2)])
3	4	70d253cd30303d5ae6ebf81e8de0b2c12a00b66b060c996f0a898dbaf708682c	3	3dd07bb5e097ea920104e085d857e519915ba214145d862576bd9cb9d3792458	14	(1/4, [(U, 1), (4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1), (C - 3*U^2, 2)])
4	8	ac9388b629e4ceda865265b87499f3d1d11739f4fd58cdb9cab2ae1e53a8febb	5	c98cab867c94043773598a95e2850c81199537a4a20702cda4cf3796208858ab	14	(1/4, [(U, 1), (4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1), (C - 3*U^2, 2)])
5	8	d0d071bebae3cfed7ce99a529cc3d84d80e4b3b8addd9fd4ee7811ba187cde24	7	1e44f843fe7b65b1842fb88ea6cc64fd891816c5a59e8857527046a5754203ec	14	(1/4, [(U, 1), (4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1), (C - 3*U^2, 2)])
6	15	82068f026cce34c206f5ec21b4040a9c3c81bb2144c750395fe4e8df29798c75	12	eeafd16cd38d04fff617ecb088f07030e664d8243c2ca913f83ab5febe8e73d7	14	(1/4, [(U, 1), (4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1), (C - 3*U^2, 2)])
7	18	f00639f49b59492f54fa15743ae001b0ef305efd8a1e57d07b3dc15fb3626d77	17	d1ba3006ab01b5761d77d13d7bb4a5eb7cfffa712716201fd6f9eea937411699	14	(1/4, [(4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1), (U, 2), (C - 3*U^2, 2)])
8	21	56c6d06eed00bf6e1bd6d4d7edc4de6ccbd42ff5638a283653adeac5bb83f8ed	17	a2a933b05cf22eb7dfaadcdf1b6a0978ac97833802e0a0ea2e01ff5b35d756ad	14	(1/4, [(U, 1), (4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1), (C - 3*U^2, 2)])
9	26	44d4486d2118ca99e75b62392c1c45940fbdcc6f99071f944e197731a3b0bbfa	17	b449fd89c33d2a9e8f36b636e2c765997b47d3943f0058e6e60e0b7f38878480	14	(1/4, [(4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1), (U, 2), (C - 3*U^2, 2)])
10	27	f20ba1bd59ee301e5d1c0ea541cc7ead4bfd5be9bf172d0e8b78421f1418e81d	17	551a1394bdc0604657d74998e2d676796d92c0fe4bf3cbe8b996da3d0d644884	14	(1/4, [(4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1), (U, 2), (C - 3*U^2, 2)])
11	31	08e9a15666e6a825407e772ce2104f45db2fa43e78300fd37dcd79d63d79bf70	17	71da93692e7f4c3c83b443864cf4e442f3c96b9dfbdfde84a2a92d6d8d3bbe2a	14	(1/4, [(4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1), (U, 2), (C - 3*U^2, 2)])
12	30	840f1939171fed7dde475430d39840c1c60f487dadb35fa33812cccb0759fb66	17	aeb8e111bf51d8f8ae8eb19c8cf40bdab39be2b16b0ccc2fd5f94f1ec1ae047a	14	(1/4, [(4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1), (U, 2), (C - 3*U^2, 2)])
13	31	4f77c9a610f584b6ecc8808481bde62f586ab4065773b408a98995c3a57e22bb	17	fe6ed57ac33cf85f47af6d3cc3cabbbb511f22bd27a4b6edaf3926d1aaaf7860	14	(1/4, [(U, 1), (4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1), (C - 3*U^2, 2)])
