exponent	pid	tag	run_dir
2	258972	td6_v78c_box02_q2_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q2
3	258974	td6_v78c_box02_q3_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q3
4	258977	td6_v78c_box02_q4_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q4
5	258979	td6_v78c_box02_q5_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q5
6	258985	td6_v78c_box02_q6_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q6
7	258995	td6_v78c_box02_q7_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q7
8	259011	td6_v78c_box02_q8_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q8
9	259021	td6_v78c_box02_q9_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q9
10	259033	td6_v78c_box02_q10_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q10
11	259043	td6_v78c_box02_q11_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q11
12	259058	td6_v78c_box02_q12_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q12
13	259079	td6_v78c_box02_q13_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q13
14	259091	td6_v78c_box02_q14_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q14
16	259109	td6_v78c_box02_q16_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q16
17	259125	td6_v78c_box02_q17_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q17
18	259157	td6_v78c_box02_q18_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q18
19	259174	td6_v78c_box02_q19_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q19
20	259189	td6_v78c_box02_q20_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q20
21	259202	td6_v78c_box02_q21_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q21
22	259218	td6_v78c_box02_q22_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q22
23	259238	td6_v78c_box02_q23_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q23
24	259248	td6_v78c_box02_q24_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_box02_20260826T0030Z/q24
