exponent	pid	tag	run_dir
2	188059	td6_v78c_r6d_q2_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q2
3	188061	td6_v78c_r6d_q3_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q3
4	188064	td6_v78c_r6d_q4_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q4
5	188069	td6_v78c_r6d_q5_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q5
6	188075	td6_v78c_r6d_q6_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q6
7	188083	td6_v78c_r6d_q7_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q7
8	188091	td6_v78c_r6d_q8_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q8
9	188102	td6_v78c_r6d_q9_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q9
10	188114	td6_v78c_r6d_q10_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q10
11	188123	td6_v78c_r6d_q11_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q11
12	188138	td6_v78c_r6d_q12_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q12
13	188159	td6_v78c_r6d_q13_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q13
14	188173	td6_v78c_r6d_q14_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q14
16	188191	td6_v78c_r6d_q16_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q16
17	188208	td6_v78c_r6d_q17_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q17
18	188220	td6_v78c_r6d_q18_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q18
19	188236	td6_v78c_r6d_q19_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q19
20	188250	td6_v78c_r6d_q20_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q20
21	188270	td6_v78c_r6d_q21_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q21
22	188284	td6_v78c_r6d_q22_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q22
23	188303	td6_v78c_r6d_q23_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q23
24	188324	td6_v78c_r6d_q24_20260826T0030Z	/home/ubuntu/runs/td6_v78c_shards_r6d_20260826T0030Z/q24
