level	derivative_rows	derivative_terms	omission_failures	compatibility_forms	compatibility_entries	consistent	first_inconsistency_sha256	compatibility_digest	compatibility_table_sha256
d6	3139	24650	39	39	1396	false	0458f40e62da3f7fc5d841ab77d1d10a1215791299991bba2285073d090cccda	ed954ed004b18096670a9b29d21e157dd02417cf581b950bb9c65ac3888f8ab1	df2eae2216967197e159e77e2b6709811f366f3baea307bb4febb4b53e3ffd07
d7	3128	24531	36	36	1269	false	0458f40e62da3f7fc5d841ab77d1d10a1215791299991bba2285073d090cccda	de09b2cea13e985b4b637e38505d55fa7306f9df64a06eb7ea5b1ee8155d70e5	f067674ed1c0516be4eeef68646e5a827bed68f99449942bed1a0721338f7ca0
d8	3116	24412	32	32	1159	false	0458f40e62da3f7fc5d841ab77d1d10a1215791299991bba2285073d090cccda	25600bc6d32eb63c51ce87c08145fb3dacdfc84dc3f4c2f121471cffa8e3a5cc	a69aef0562e43b12c788b9390dc9424bc188b495d035c7910e6b7b1be7a89fce
d9	3104	24286	29	29	1007	false	0458f40e62da3f7fc5d841ab77d1d10a1215791299991bba2285073d090cccda	9de1a90e8f352520aa1635c7a7dbdd201088a6c8a1cf864714c4d9f7e15ff8f0	b77be35ba8072970e1e7318752950a2660d8a9c191256ae5545896798031cb03
d10	3093	24173	26	0	0	true	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a30f85978bc937ca998bb0c9cb299171b0a39e1e7de406ae7d7166c80bcee1df
d11	3080	24041	23	23	735	false	0458f40e62da3f7fc5d841ab77d1d10a1215791299991bba2285073d090cccda	204f62c16b17424257ffadba7cb8b3ad53a0ba872792bb9880a7d5329c547f52	637cbc2485629bdbb929af8c8de435febb4be400ef2a18883c4ebc56a8797437
d12	3069	23923	20	20	617	false	0458f40e62da3f7fc5d841ab77d1d10a1215791299991bba2285073d090cccda	cd2bdbd4eaaa8a14ba06b582e1200a17f470bb5773c3ade786b412544804e480	9376efbfe6b0c53c26bd919025399d6d16c9c1c40295dc1080e72fd085ab879c
d13	3057	23806	16	16	514	false	0458f40e62da3f7fc5d841ab77d1d10a1215791299991bba2285073d090cccda	5dbe9c5f8d60b98ad0377c30a38b15febb0c666618850e25d3dc4c096ba6be58	06cfdd710b7fc22c495c880239f8dde69d96291c9e2145ea8401bd339009f4a2
d14	3046	23682	13	13	373	false	0458f40e62da3f7fc5d841ab77d1d10a1215791299991bba2285073d090cccda	40fea83911e3456577ad70f3fcb9c95d105dc682ef202ba034f983d6e4fae5ae	aee20602cbaa65f2d6a12ad9b7b7fb48b63e724f68c8df2440e2b89bf19c991b
d15	3035	23571	10	0	0	true	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a30f85978bc937ca998bb0c9cb299171b0a39e1e7de406ae7d7166c80bcee1df
d16	3022	23440	7	7	115	false	0458f40e62da3f7fc5d841ab77d1d10a1215791299991bba2285073d090cccda	45a30e3349af09bfd3d265d946fe86985dc5a5789cc5224a29003c654bd36771	7e40146215fb5416235c7ab9b3aa57c84a62147ca0a34e47797b93c48796022a
