kind	key	coordinate	coefficient_exact
derivative-only	('f', 'F0', -9, 0)	constant	0|(15625/3)*S^0|0
derivative-only	('f', 'F0', -9, 5)	constant	(-31250/1)*S^0|0|0
derivative-only	('f', 'F0', -8, 3)	constant	(-311430000/1)*S^0+(-669690000/1)*S^1+(-526680000/1)*S^2+(-78540000/1)*S^3|0|0
derivative-only	('f', 'F0', -8, 3)	p4	(-2500/1)*S^0|0|0
derivative-only	('f', 'F0', -8, 3)	p8	(-12500/1)*S^0|0|0
derivative-only	('f', 'F0', -8, 3)	p13	(-37500/1)*S^0|0|0
derivative-only	('f', 'F0', -8, 3)	p19	(-87500/1)*S^0|0|0
derivative-only	('f', 'F0', -8, 3)	p24	(1925000/1)*S^0|0|0
derivative-only	('f', 'F0', -8, 3)	p25	(1925000/1)*S^0|0|0
derivative-only	('f', 'F0', -8, 3)	p26	(1925000/1)*S^0|0|0
derivative-only	('f', 'F0', -8, 3)	p27	(15330000/1)*S^0|0|0
derivative-only	('f', 'F0', -8, 3)	p28	(3780000/1)*S^0|0|0
derivative-only	('f', 'F0', -8, 3)	p29	(-17745000/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	constant	(1138088639/3)*S^0+(464531421/1)*S^1+(411746397/1)*S^2+(178657319/1)*S^3+(13450248/1)*S^4+(-1014300/1)*S^5|(-156250/3)*S^0|0
derivative-only	('f', 'F0', -7, 1)	p0	(-25/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	p1	(50/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	p2	(475/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	p3	(250/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	p4	(3450/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	p5	(950/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	p6	(-800/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	p7	(425/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	p8	(2600/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	p9	(-3450/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	p10	(-5875/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	p11	(-67425/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	p12	(-25400/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	p13	(-12500/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	p14	(-12900/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	p15	(-175050/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 1)	p16	(45800/1)*S^0|0|0
