kind	key	coordinate	coefficient_exact
derivative-only	('f', 'F0', -4, 0)	constant	0|(15625/3)*S^0|0
derivative-only	('f', 'F0', -4, 5)	constant	(-31250/1)*S^0|0|0
derivative-only	('f', 'F0', -3, 3)	constant	(-311430000/1)*S^0+(-669690000/1)*S^1+(-526680000/1)*S^2+(-78540000/1)*S^3|0|0
derivative-only	('f', 'F0', -3, 3)	p4	(-2500/1)*S^0|0|0
derivative-only	('f', 'F0', -3, 3)	p8	(-12500/1)*S^0|0|0
derivative-only	('f', 'F0', -3, 3)	p13	(-37500/1)*S^0|0|0
derivative-only	('f', 'F0', -3, 3)	p19	(-87500/1)*S^0|0|0
derivative-only	('f', 'F0', -3, 3)	p24	(1925000/1)*S^0|0|0
derivative-only	('f', 'F0', -3, 3)	p25	(1925000/1)*S^0|0|0
derivative-only	('f', 'F0', -3, 3)	p26	(1925000/1)*S^0|0|0
derivative-only	('f', 'F0', -3, 3)	p27	(15330000/1)*S^0|0|0
derivative-only	('f', 'F0', -3, 3)	p28	(3780000/1)*S^0|0|0
derivative-only	('f', 'F0', -3, 3)	p29	(-17745000/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 4)	constant	0|(625000000/9)*S^0+(-1093750000/9)*S^1+(87890625/1)*S^2+(-273437500/9)*S^3+(39062500/9)*S^4|0
derivative-only	('g', 'F0', -6, 9)	constant	(-250000000/3)*S^0+(437500000/3)*S^1+(-105468750/1)*S^2+(109375000/3)*S^3+(-15625000/3)*S^4|0|0
derivative-only	('g', 'F0', -5, 2)	constant	(33795388897443050/1)*S^0+(84260983406557700/1)*S^1+(26528092897439900/1)*S^2+(24156100763940050/1)*S^3+(-4551203822469400/1)*S^4+(630852230066100/1)*S^5|0|0
derivative-only	('g', 'F0', -5, 2)	p33	(-375/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p38	(-1500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p42	(-3750/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p50	(67500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p51	(67500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p52	(67500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p53	(675000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p54	(1012500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p55	(675000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p56	(468750/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p57	(131250/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p58	(8662500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p59	(5784375/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p60	(5156250/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p61	(1959375/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p63	(-490875/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p64	(63525000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p65	(38362500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p66	(-13612500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p67	(17737500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p68	(-13014000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p69	(-8662500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p70	(-7161000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p71	(-2772000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p72	(59321625/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p73	(-198000000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p74	(-407046750/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p75	(-123123000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p76	(-94996125/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p77	(-22932000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p78	(-1365000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p79	(-4046484750/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p80	(-2404710000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p81	(-1636145250/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p82	(-1412943750/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p83	(-1301865000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p84	(-91728000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p85	(-46305000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p86	(26208000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p87	(-14975218125/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p88	(3772701750/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p89	(-23358819375/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p90	(-5480437500/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p91	(-1623395625/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p92	(-717345000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p93	(-1789317000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p94	(364455000/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p95	(-82569375/1)*S^0|0|0
derivative-only	('g', 'F0', -5, 2)	p96	(-8420212500/1)*S^0|0|0
