kind	key	coordinate	coefficient_exact
derivative-only	('f', 'F0', -11, 0)	constant	0|(15625/3)*S^0|0
derivative-only	('f', 'F0', -11, 5)	constant	(-31250/1)*S^0|0|0
derivative-only	('f', 'F0', -10, 3)	constant	(-311430000/1)*S^0+(-669690000/1)*S^1+(-526680000/1)*S^2+(-78540000/1)*S^3|0|0
derivative-only	('f', 'F0', -10, 3)	p4	(-2500/1)*S^0|0|0
derivative-only	('f', 'F0', -10, 3)	p8	(-12500/1)*S^0|0|0
derivative-only	('f', 'F0', -10, 3)	p13	(-37500/1)*S^0|0|0
derivative-only	('f', 'F0', -10, 3)	p19	(-87500/1)*S^0|0|0
derivative-only	('f', 'F0', -10, 3)	p24	(1925000/1)*S^0|0|0
derivative-only	('f', 'F0', -10, 3)	p25	(1925000/1)*S^0|0|0
derivative-only	('f', 'F0', -10, 3)	p26	(1925000/1)*S^0|0|0
derivative-only	('f', 'F0', -10, 3)	p27	(15330000/1)*S^0|0|0
derivative-only	('f', 'F0', -10, 3)	p28	(3780000/1)*S^0|0|0
derivative-only	('f', 'F0', -10, 3)	p29	(-17745000/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	constant	(1138088639/3)*S^0+(464531421/1)*S^1+(411746397/1)*S^2+(178657319/1)*S^3+(13450248/1)*S^4+(-1014300/1)*S^5|(-156250/3)*S^0|0
derivative-only	('f', 'F0', -9, 1)	p0	(-25/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p1	(50/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p2	(475/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p3	(250/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p4	(3450/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p5	(950/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p6	(-800/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p7	(425/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p8	(2600/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p9	(-3450/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p10	(-5875/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p11	(-67425/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p12	(-25400/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p13	(-12500/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p14	(-12900/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p15	(-175050/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p16	(45800/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p17	(-151825/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p18	(53850/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p19	(82400/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p20	(1231000/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p21	(1926675/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p22	(428625/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p23	(381050/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p24	(6026100/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p25	(4566275/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p26	(-914375/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p27	(-6253100/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p28	(1476275/1)*S^0|0|0
derivative-only	('f', 'F0', -9, 1)	p29	(10931950/1)*S^0|0|0
derivative-only	('f', 'F0', -8, 4)	constant	(207506250/1)*S^0+(264600000/1)*S^1+(107493750/1)*S^2|0|0
derivative-only	('f', 'F0', -8, 4)	p11	(-15625/1)*S^0|0|0
derivative-only	('f', 'F0', -8, 4)	p17	(-93750/1)*S^0|0|0
derivative-only	('f', 'F0', -8, 4)	p22	(-328125/1)*S^0|0|0
derivative-only	('f', 'F0', -8, 4)	p26	(-875000/1)*S^0|0|0
derivative-only	('f', 'F0', -8, 4)	p29	(25593750/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	constant	(642307500/1)*S^0+(928929150/1)*S^1+(418651425/1)*S^2+(-44499600/1)*S^3+(-28379250/1)*S^4+(-1004400/1)*S^5|0|0
derivative-only	('f', 'F0', -7, 2)	p2	(-375/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p7	(-1500/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p12	(30000/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p13	(30000/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p14	(30000/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p15	(270000/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p16	(405000/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p17	(270000/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p18	(202500/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p19	(67500/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p20	(2025000/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p21	(787500/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p23	(-206250/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p24	(-3712500/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p25	(-3196875/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p26	(-1443750/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p27	(-11434500/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p28	(-1270500/1)*S^0|0|0
derivative-only	('f', 'F0', -7, 2)	p29	(13104000/1)*S^0|0|0
derivative-only	('f', 'F0', -6, 0)	constant	(-1735935219/2)*S^0+(-8766211131/10)*S^1+(-3702228387/10)*S^2+(-1125131689/10)*S^3+(-50299404/5)*S^4+(4475202/5)*S^5|(15625/1)*S^0|0
derivative-only	('f', 'F0', -6, 0)	p0	(45/2)*S^0|0|0
derivative-only	('f', 'F0', -6, 0)	p1	(-20/1)*S^0|0|0
derivative-only	('f', 'F0', -6, 0)	p2	(-645/2)*S^0|0|0
derivative-only	('f', 'F0', -6, 0)	p3	(-265/1)*S^0|0|0
derivative-only	('f', 'F0', -6, 0)	p4	(-2755/1)*S^0|0|0
derivative-only	('f', 'F0', -6, 0)	p5	(-1385/1)*S^0|0|0
derivative-only	('f', 'F0', -6, 0)	p6	(95/1)*S^0|0|0
