kind	key	coordinate	coefficient_exact
derivative-only	('f', 'F0', -8, 0)	constant	(('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('15625/3', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
derivative-only	('f', 'F0', -8, 5)	constant	(('-31250', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
derivative-only	('f', 'F0', -7, 3)	constant	(('-311430000*V*U', '1'), ('-669690000*V*U', '1'), ('-526680000*V*U', '1'), ('-78540000*V*U', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
derivative-only	('f', 'F0', -7, 3)	p4	(('-2500', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
derivative-only	('f', 'F0', -7, 3)	p8	(('-12500', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
derivative-only	('f', 'F0', -7, 3)	p13	(('-37500', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
derivative-only	('f', 'F0', -7, 3)	p19	(('-87500', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
derivative-only	('f', 'F0', -7, 3)	p24	(('1925000*C', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
derivative-only	('f', 'F0', -7, 3)	p25	(('1925000*V', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
derivative-only	('f', 'F0', -7, 3)	p26	(('1925000*U', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
derivative-only	('f', 'F0', -7, 3)	p27	(('3780000*C + 11550000*U^2', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
derivative-only	('f', 'F0', -7, 3)	p28	(('3780000*V', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
derivative-only	('f', 'F0', -7, 3)	p29	(('6825000*C - 24570000*U^2', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
derivative-only	('f', 'F0', -6, 1)	constant	(('-160838998/3*C^3*U + 96536022*C^2*V^2 + 749130246*C^2*U^3 - 745699542*C*V^2*U^2 + 147269528*C*U^5 - 221037668*V^4*U - 882429188*V^2*U^4 + 151117842*U^7', 'C - 3*U^2'), ('-114695136*C^3*U + 95012760*C^2*V^2 + 756391704*C^2*U^3 - 783600816*C*V^2*U^2 + 119778756*C*U^5 - 230284860*V^4*U - 981224910*V^2*U^4 + 209559660*U^7', 'C - 3*U^2'), ('-121198032*C^3*U - 28923600*C^2*V^2 + 204331968*C^2*U^3 - 440811852*C*V^2*U^2 - 52147968*C*U^5 - 71781600*V^4*U - 440400270*V^2*U^4 + 127438560*U^7', 'C - 3*U^2'), ('-35596444*C^3*U - 21243000*C^2*V^2 + 17044576*C^2*U^3 - 158653884*C*V^2*U^2 - 56112556*C*U^5 - 14216400*V^4*U - 113210810*V^2*U^4 + 24673880*U^7', 'C - 3*U^2'), ('-1516608*C^3*U + 6257820*C^2*V^2 + 5704872*C^2*U^3 - 6802968*C*V^2*U^2 - 9094392*C*U^5 - 5304240*V^4*U - 17059860*V^2*U^4 + 914880*U^7', 'C - 3*U^2'), ('-254064*C^3*U + 577296*C^2*V^2 + 552672*C^2*U^3 + 2005488*C*V^2*U^2 - 213840*C*U^5 - 11184*V^4*U - 612504*V^2*U^4 - 15264*U^7', 'C - 3*U^2'), ('312500/3*U', 'C - 3*U^2'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
derivative-only	('f', 'F0', -6, 1)	p0	(('50*V', 'C - 3*U^2'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
derivative-only	('f', 'F0', -6, 1)	p1	(('-50*C - 50*U^2', 'C - 3*U^2'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
derivative-only	('f', 'F0', -6, 1)	p2	(('-550*V^2 - 400*U^3', 'C - 3*U^2'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
