pivot_index	row_index	row_key	pivot_column	e_basis_coordinate	lead_exact_sha256	rat_num	rat_den	rat_num_factor	rat_den_factor
0	0	('X-2', 0)	0	0	a8c1d6c53b51d51bd88358955dcf70b976fe20868264994d52a2cdf43c915199	-V*U^2	C - 3*U^2	(-1, [(V, 1), (U, 2)])	(1, [(C - 3*U^2, 1)])
1	1	('X-2', 1)	1	0	cce6c422802f87800b1d9a2fa1d5daab3d25dd1c2be43772a0d7b9c53cfc123f	-C*U + V^2 - U^3	V	(-1, [(C*U - V^2 + U^3, 1)])	(1, [(V, 1)])
2	2	('X-2', 2)	2	0	386bfc883f4fba879ea2a434a174ec966da46ef145781b64e93a8cf4ef003745	-V^2*U^2 + 4*U^5	C*U - V^2 + U^3	(-1, [(V^2 - 4*U^3, 1), (U, 2)])	(1, [(C*U - V^2 + U^3, 1)])
3	3	('X-2', 3)	3	0	00ae3f6951967b8c871d60695acf742ce6197b86fef51a75d6b1420cd3e9f57d	-U	1	(-1, [(U, 1)])	(1, [])
4	4	('X-2', 4)	4	0	0fa70fc6713a7628a964d74f5c71955ba368930acc4dc74c4cbe828e2f0a4e4e	16*C^2*V*U - 14*C*V^3 - 32*C*V*U^3 + 42*V^3*U^2 - 48*V*U^5	V^2*U - 4*U^4	(2, [(V, 1), (C - 3*U^2, 1), (8*C*U - 7*V^2 + 8*U^3, 1)])	(1, [(U, 1), (V^2 - 4*U^3, 1)])
5	5	('X-2', 5)	5	0	8be62209f74474a1808dfcef999b699d25a471d58a8cf3c472f62a41197f6e75	1/4*C^3*U^2 - 1/4*C^2*V^2*U + 3/4*C^2*U^4 + 1/16*C*V^4 - 1/2*C*V^2*U^3 - 13/4*C*U^6 - 3/16*V^4*U^2 + 15/4*V^2*U^5 - 15/4*U^8	C*V*U^3 - 7/8*V^3*U^2 + V*U^5	(1/16, [(C - 3*U^2, 1), (4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1)])	(1/8, [(V, 1), (8*C*U - 7*V^2 + 8*U^3, 1), (U, 2)])
6	6	('X-2', 6)	7	0	d698d748c63e93d3ba1c862ff1412bcdcc8fc8ae76be1c78757c487f5cbff0af	1	1	(1, [])	(1, [])
7	7	('X-2', 7)	10	0	d698d748c63e93d3ba1c862ff1412bcdcc8fc8ae76be1c78757c487f5cbff0af	1	1	(1, [])	(1, [])
8	8	('X-2', 8)	14	0	d698d748c63e93d3ba1c862ff1412bcdcc8fc8ae76be1c78757c487f5cbff0af	1	1	(1, [])	(1, [])
9	9	('X-2', 9)	19	0	d698d748c63e93d3ba1c862ff1412bcdcc8fc8ae76be1c78757c487f5cbff0af	1	1	(1, [])	(1, [])
10	10	('X-2', 10)	23	0	d698d748c63e93d3ba1c862ff1412bcdcc8fc8ae76be1c78757c487f5cbff0af	1	1	(1, [])	(1, [])
11	11	('X-2', 11)	26	0	d698d748c63e93d3ba1c862ff1412bcdcc8fc8ae76be1c78757c487f5cbff0af	1	1	(1, [])	(1, [])
12	12	('X-2', 12)	28	0	d698d748c63e93d3ba1c862ff1412bcdcc8fc8ae76be1c78757c487f5cbff0af	1	1	(1, [])	(1, [])
13	13	('X-2', 13)	29	0	d698d748c63e93d3ba1c862ff1412bcdcc8fc8ae76be1c78757c487f5cbff0af	1	1	(1, [])	(1, [])
14	14	('X-2', 14)	30	0	86b65f681323d316e38bbf1bdd7312202475cf3531d43013cc38af7ddaf36dfb	-15/2*C + 15/2*U^2	1	(-15/2, [(C - U^2, 1)])	(1, [])
15	15	('X-2', 15)	31	0	be2d1969cf3d31140001f0c8263cb5280d7a5daeb49d28339b004d96b91112cd	15*C*U - 15*V^2 - 15*U^3	C - U^2	(15, [(C*U - V^2 - U^3, 1)])	(1, [(C - U^2, 1)])
16	16	('X-2', 16)	32	0	4da209093b99488e9663b305aaa85e58395fd386e03dcb4e967b0941d62da237	-15*C*U^2 + 15*V^2*U - 45*U^4	C*U - V^2 - U^3	(-15, [(U, 1), (C*U - V^2 + 3*U^3, 1)])	(1, [(C*U - V^2 - U^3, 1)])
17	17	('X-2', 17)	33	0	012b710313d3fe6f2c1da69bf8a4f2086a1bf9548681c88d8d6dac4a79853ecd	-15*C*V^2 - 120*C*U^3 + 195*V^2*U^2 - 360*U^5	C*U - V^2 + 3*U^3	(-15, [(C*V^2 + 8*C*U^3 - 13*V^2*U^2 + 24*U^5, 1)])	(1, [(C*U - V^2 + 3*U^3, 1)])
18	18	('X-2', 18)	34	0	a770de893710a6c6eaee77bc9a7d0b000965005faa4cacdb6a2dedac2a28df48	-60*C*V^2*U - 480*C*U^4 + 30*V^4 + 420*V^2*U^3 - 480*U^6	C*V^2 + 8*C*U^3 - 13*V^2*U^2 + 24*U^5	(-30, [(2*C*V^2*U + 16*C*U^4 - V^4 - 14*V^2*U^3 + 16*U^6, 1)])	(1, [(C*V^2 + 8*C*U^3 - 13*V^2*U^2 + 24*U^5, 1)])
19	19	('X-2', 19)	35	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
20	20	('X-2', 20)	39	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
21	21	('X-2', 21)	42	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
22	22	('X-2', 22)	46	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
23	23	('X-2', 23)	52	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
24	24	('X-2', 24)	57	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
25	25	('X-2', 25)	63	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
26	26	('X-2', 26)	71	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
27	27	('X-2', 27)	78	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
28	28	('X-2', 28)	86	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
29	29	('X-2', 29)	95	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
30	30	('X-2', 30)	103	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
31	31	('X-2', 31)	110	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
32	32	('X-2', 32)	116	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
33	33	('X-2', 33)	121	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
34	34	('X-2', 34)	125	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
35	35	('X-2', 35)	128	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
36	36	('X-2', 36)	130	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
37	37	('X-2', 37)	131	0	fe614bf1c543b4bb8542c68cdcef517481c64b79a3ad9062d92f354ac391c5ba	-15	1	(-15, [])	(1, [])
