source	role	multiplicity	classification	factor_sha256	factor
selected_minor	zero	1	H	a41defa0b56d66f9be4667075307b1c353f86593295beddae2b6674cb7145711	C - 3*U^2
selected_minor	zero	1	extra	d6b836baa48c5f7feecf391d989bc42821cc6ec1fd5b6eadd9f1b9073484bd14	C*V^2*U + 8*C*U^4 - 1/2*V^4 - 7*V^2*U^3 + 8*U^6
selected_minor	zero	1	B3	411c5609df37f37a2703975dd66330e6fc3b4e4e4a2fe1b4b868ce56ad78a120	C^2*U^2 - C*V^2*U + 6*C*U^4 + 1/4*V^4 - 5*V^2*U^3 + 5*U^6
selected_minor	zero	3	U	a25513c7e0f6eaa80a3337ee18081b9e2ed09e00af8531c8f7bb2542764027e7	U
selected_entries	pole	1	U	a25513c7e0f6eaa80a3337ee18081b9e2ed09e00af8531c8f7bb2542764027e7	U
selected_entries	pole	1	H	a41defa0b56d66f9be4667075307b1c353f86593295beddae2b6674cb7145711	C - 3*U^2
full_first_matrix	pole	1	U	a25513c7e0f6eaa80a3337ee18081b9e2ed09e00af8531c8f7bb2542764027e7	U
full_first_matrix	pole	1	H	a41defa0b56d66f9be4667075307b1c353f86593295beddae2b6674cb7145711	C - 3*U^2
rank38_principal_open	inverted	1	extra	d6b836baa48c5f7feecf391d989bc42821cc6ec1fd5b6eadd9f1b9073484bd14	C*V^2*U + 8*C*U^4 - 1/2*V^4 - 7*V^2*U^3 + 8*U^6
rank38_principal_open	inverted	1	B3	411c5609df37f37a2703975dd66330e6fc3b4e4e4a2fe1b4b868ce56ad78a120	C^2*U^2 - C*V^2*U + 6*C*U^4 + 1/4*V^4 - 5*V^2*U^3 + 5*U^6
rank38_principal_open	inverted	2	H	a41defa0b56d66f9be4667075307b1c353f86593295beddae2b6674cb7145711	C - 3*U^2
rank38_principal_open	inverted	4	U	a25513c7e0f6eaa80a3337ee18081b9e2ed09e00af8531c8f7bb2542764027e7	U
