source_kind	source_index	source_key	parameter_monomial	coefficient_exact
P12	12	('X0_RAW', 12)	()	"(('-133624/21075*V^10*U^9 + 534496/7025*V^8*U^12 - 2137984/7025*V^6*U^15 + 8551936/21075*V^4*U^18', '1'), ('9896/843*V^10*U^9 - 39584/281*V^8*U^12 + 158336/281*V^6*U^15 - 633344/843*V^4*U^18', '1'), ('-40993/4215*V^10*U^9 + 163972/1405*V^8*U^12 - 655888/1405*V^6*U^15 + 2623552/4215*V^4*U^18', '1'), ('18362/4215*V^10*U^9 - 73448/1405*V^8*U^12 + 293792/1405*V^6*U^15 - 1175168/4215*V^4*U^18', '1'), ('-1476/1405*V^10*U^9 + 17712/1405*V^8*U^12 - 70848/1405*V^6*U^15 + 94464/1405*V^4*U^18', '1'), ('776/7025*V^10*U^9 - 9312/7025*V^8*U^12 + 37248/7025*V^6*U^15 - 49664/7025*V^4*U^18', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	0	('X-2', 0)	()	"(('8958442599183814/281*V^18*U^2 - 8208139797356364596/12645*V^16*U^5 + 4443118585444647643/37935*V^14*U^8 + 2911207665936049572712/37935*V^12*U^11 - 1675743582619837789250/2529*V^10*U^14 + 97158813608128698475316/37935*V^8*U^17 - 207428195965240816325156/37935*V^6*U^20 + 16725340778986238690480/2529*V^4*U^23 - 30273715469351297827136/7587*V^2*U^26 + 33211237408898887991552/37935*U^29', '1'), ('-16392994437353710/281*V^18*U^2 + 9409701087406402630/7587*V^16*U^5 - 857043884220435946/2529*V^14*U^8 - 1103153820670633286570/7587*V^12*U^11 + 3171693424396707129914/2529*V^10*U^14 - 12217073296559656864342/2529*V^8*U^17 + 8661196610596459132252/843*V^6*U^20 - 31319311066563868091632/2529*V^4*U^23 + 56527626656336349867328/7587*V^2*U^26 - 1373961390071626679552/843*U^29', '1'), ('12882878072302260/281*V^18*U^2 - 7613764628311752382/7587*V^16*U^5 + 359197328242645304/843*V^14*U^8 + 887696981870724765028/7587*V^12*U^11 - 7714811311648164870776/7587*V^10*U^14 + 29796068325066406827938/7587*V^8*U^17 - 7041867004408092528328/843*V^6*U^20 + 25420677524960205421504/2529*V^4*U^23 - 45765792178188046937984/7587*V^2*U^26 + 9978805556235865737728/7587*U^29', '1'), ('-5585790371664690/281*V^18*U^2 + 3521328353720003570/7587*V^16*U^5 - 597054325138183799/2529*V^14*U^8 - 406135871602401697580/7587*V^12*U^11 + 3511253235530407187008/7587*V^10*U^14 - 13463291163450432525970/7587*V^8*U^17 + 9481894024010451273152/2529*V^6*U^20 - 3783170925546251200192/843*V^4*U^23 + 20347160422833323444992/7587*V^2*U^26 - 4415688437149739458048/7587*U^29', '1'), ('1356274337885940/281*V^18*U^2 - 297399738863199176/2529*V^16*U^5 + 139291116470403128/2529*V^14*U^8 + 34091768026395904604/2529*V^12*U^11 - 291270620111535086168/2529*V^10*U^14 + 1105739904796818749800/2529*V^8*U^17 - 2319260859300478174400/2529*V^6*U^20 + 2764209203239573287040/2529*V^4*U^23 - 183086591940884179968/281*V^2*U^26 + 118891198996184576000/843*U^29', '1'), ('-147791378292888/281*V^18*U^2 + 54872729706589664/4215*V^16*U^5 - 19488341573254264/4215*V^14*U^8 - 18841812069523119608/12645*V^12*U^11 + 10587892474037103968/843*V^10*U^14 - 597176582872360934384/12645*V^8*U^17 + 1245023938420071977504/12645*V^6*U^20 - 32891356225367277184/281*V^4*U^23 + 176359500646634575360/2529*V^2*U^26 - 63605059203925989376/4215*U^29', '1'), ('-1419755000/7587*V^10*U^8 + 2839510000/7587*V^8*U^11 - 11358040000/7587*V^6*U^14 + 181728640000/7587*V^4*U^17 - 363457280000/7587*V^2*U^20', '1'), ('2628625000/7587*V^10*U^8 - 5257250000/7587*V^8*U^11 + 21029000000/7587*V^6*U^14 - 336464000000/7587*V^4*U^17 + 672928000000/7587*V^2*U^20', '1'), ('-2177753125/7587*V^10*U^8 + 4355506250/7587*V^8*U^11 - 17422025000/7587*V^6*U^14 + 278752400000/7587*V^4*U^17 - 557504800000/7587*V^2*U^20', '1'), ('975481250/7587*V^10*U^8 - 1950962500/7587*V^8*U^11 + 7803850000/7587*V^6*U^14 - 124861600000/7587*V^4*U^17 + 249723200000/7587*V^2*U^20', '1'), ('-8712500/281*V^10*U^8 + 17425000/281*V^8*U^11 - 69700000/281*V^6*U^14 + 1115200000/281*V^4*U^17 - 2230400000/281*V^2*U^20', '1'), ('8245000/2529*V^10*U^8 - 16490000/2529*V^8*U^11 + 65960000/2529*V^6*U^14 - 1055360000/2529*V^4*U^17 + 2110720000/2529*V^2*U^20', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	0	('X-2', 0)	(6,)	"(('-4543216/12645*V^9*U^12 - 18172864/12645*V^7*U^15 + 145382912/12645*V^5*U^18', '1'), ('1682320/2529*V^9*U^12 + 6729280/2529*V^7*U^15 - 53834240/2529*V^5*U^18', '1'), ('-1393762/2529*V^9*U^12 - 5575048/2529*V^7*U^15 + 44600384/2529*V^5*U^18', '1'), ('624308/2529*V^9*U^12 + 2497232/2529*V^7*U^15 - 19977856/2529*V^5*U^18', '1'), ('-16728/281*V^9*U^12 - 66912/281*V^7*U^15 + 535296/281*V^5*U^18', '1'), ('26384/4215*V^9*U^12 + 105536/4215*V^7*U^15 - 844288/4215*V^5*U^18', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	0	('X-2', 0)	(8,)	"(('-4543216/12645*V^11*U^10 + 18172864/12645*V^9*U^13 - 72691456/12645*V^7*U^16 + 1163063296/12645*V^3*U^22', '1'), ('1682320/2529*V^11*U^10 - 6729280/2529*V^9*U^13 + 26917120/2529*V^7*U^16 - 430673920/2529*V^3*U^22', '1'), ('-1393762/2529*V^11*U^10 + 5575048/2529*V^9*U^13 - 22300192/2529*V^7*U^16 + 356803072/2529*V^3*U^22', '1'), ('624308/2529*V^11*U^10 - 2497232/2529*V^9*U^13 + 9988928/2529*V^7*U^16 - 159822848/2529*V^3*U^22', '1'), ('-16728/281*V^11*U^10 + 66912/281*V^9*U^13 - 267648/281*V^7*U^16 + 4282368/281*V^3*U^22', '1'), ('26384/4215*V^11*U^10 - 105536/4215*V^9*U^13 + 422144/4215*V^7*U^16 - 6754304/4215*V^3*U^22', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	0	('X-2', 0)	(9,)	"(('-2271608/12645*V^10*U^11 + 9086432/2529*V^8*U^14 - 36345728/12645*V^6*U^17 - 145382912/4215*V^4*U^20', '1'), ('841160/2529*V^10*U^11 - 16823200/2529*V^8*U^14 + 13458560/2529*V^6*U^17 + 53834240/843*V^4*U^20', '1'), ('-696881/2529*V^10*U^11 + 13937620/2529*V^8*U^14 - 11150096/2529*V^6*U^17 - 44600384/843*V^4*U^20', '1'), ('312154/2529*V^10*U^11 - 6243080/2529*V^8*U^14 + 4994464/2529*V^6*U^17 + 19977856/843*V^4*U^20', '1'), ('-8364/281*V^10*U^11 + 167280/281*V^8*U^14 - 133824/281*V^6*U^17 - 1605888/281*V^4*U^20', '1'), ('13192/4215*V^10*U^11 - 52768/843*V^8*U^14 + 211072/4215*V^6*U^17 + 844288/1405*V^4*U^20', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	0	('X-2', 0)	(11,)	"(('4543216/12645*V^13*U^8 + 86321104/12645*V^11*U^11 + 963161792/12645*V^9*U^14 - 6396848128/12645*V^7*U^17 + 581531648/1405*V^5*U^20 - 2326126592/2529*V^3*U^23 + 18609012736/12645*V*U^26', '1'), ('-1682320/2529*V^13*U^8 - 31964080/2529*V^11*U^11 - 356651840/2529*V^9*U^14 + 2368706560/2529*V^7*U^17 - 215336960/281*V^5*U^20 + 4306739200/2529*V^3*U^23 - 6890782720/2529*V*U^26', '1'), ('1393762/2529*V^13*U^8 + 26481478/2529*V^11*U^11 + 295477544/2529*V^9*U^14 - 1962416896/2529*V^7*U^17 + 178401536/281*V^5*U^20 - 3568030720/2529*V^3*U^23 + 5708849152/2529*V*U^26', '1'), ('-624308/2529*V^13*U^8 - 11861852/2529*V^11*U^11 - 132353296/2529*V^9*U^14 + 879025664/2529*V^7*U^17 - 79911424/281*V^5*U^20 + 1598228480/2529*V^3*U^23 - 2557165568/2529*V*U^26', '1'), ('16728/281*V^13*U^8 + 317832/281*V^11*U^11 + 3546336/281*V^9*U^14 - 23553024/281*V^7*U^17 + 19270656/281*V^5*U^20 - 42823680/281*V^3*U^23 + 68517888/281*V*U^26', '1'), ('-26384/4215*V^13*U^8 - 501296/4215*V^11*U^11 - 5593408/4215*V^9*U^14 + 37148672/4215*V^7*U^17 - 10131456/1405*V^5*U^20 + 13508608/843*V^3*U^23 - 108068864/4215*V*U^26', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	0	('X-2', 0)	(12,)	"(('4543216/12645*V^12*U^9 + 36345728/4215*V^10*U^12 + 890470336/12645*V^8*U^15 - 5306476288/12645*V^6*U^18 - 4652253184/12645*V^2*U^24', '1'), ('-1682320/2529*V^12*U^9 - 13458560/843*V^10*U^12 - 329734720/2529*V^8*U^15 + 1964949760/2529*V^6*U^18 + 1722695680/2529*V^2*U^24', '1'), ('1393762/2529*V^12*U^9 + 11150096/843*V^10*U^12 + 273177352/2529*V^8*U^15 - 1627914016/2529*V^6*U^18 - 1427212288/2529*V^2*U^24', '1'), ('-624308/2529*V^12*U^9 - 4994464/843*V^10*U^12 - 122364368/2529*V^8*U^15 + 729191744/2529*V^6*U^18 + 639291392/2529*V^2*U^24', '1'), ('16728/281*V^12*U^9 + 401472/281*V^10*U^12 + 3278688/281*V^8*U^15 - 19538304/281*V^6*U^18 - 17129472/281*V^2*U^24', '1'), ('-26384/4215*V^12*U^9 - 211072/1405*V^10*U^12 - 5171264/4215*V^8*U^15 + 30816512/4215*V^6*U^18 + 27017216/4215*V^2*U^24', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	0	('X-2', 0)	(13,)	"(('-18172864/12645*V^11*U^10 + 72691456/4215*V^9*U^13 + 72691456/4215*V^7*U^16 - 4943019008/12645*V^5*U^19 + 2326126592/4215*V^3*U^22', '1'), ('6729280/2529*V^11*U^10 - 26917120/843*V^9*U^13 - 26917120/843*V^7*U^16 + 1830364160/2529*V^5*U^19 - 861347840/843*V^3*U^22', '1'), ('-5575048/2529*V^11*U^10 + 22300192/843*V^9*U^13 + 22300192/843*V^7*U^16 - 1516413056/2529*V^5*U^19 + 713606144/843*V^3*U^22', '1'), ('2497232/2529*V^11*U^10 - 9988928/843*V^9*U^13 - 9988928/843*V^7*U^16 + 679247104/2529*V^5*U^19 - 319645696/843*V^3*U^22', '1'), ('-66912/281*V^11*U^10 + 802944/281*V^9*U^13 + 802944/281*V^7*U^16 - 18200064/281*V^5*U^19 + 25694208/281*V^3*U^22', '1'), ('105536/4215*V^11*U^10 - 422144/1405*V^9*U^13 - 422144/1405*V^7*U^16 + 28705792/4215*V^5*U^19 - 13508608/1405*V^3*U^22', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	0	('X-2', 0)	(15,)	"(('-4543216/12645*V^15*U^6 + 15901256/1405*V^13*U^9 + 240790448/2529*V^11*U^12 + 3280201952/4215*V^9*U^15 - 80433096064/12645*V^7*U^18 + 15992120320/2529*V^5*U^21 - 117469392896/12645*V^3*U^24 + 74436050944/12645*V*U^27', '1'), ('1682320/2529*V^15*U^6 - 5888120/281*V^13*U^9 - 445814800/2529*V^11*U^12 - 1214635040/843*V^9*U^15 + 29783793280/2529*V^7*U^18 - 29608832000/2529*V^5*U^21 + 43498065920/2529*V^3*U^24 - 27563130880/2529*V*U^27', '1'), ('-1393762/2529*V^15*U^6 + 4878167/281*V^13*U^9 + 369346930/2529*V^11*U^12 + 1006296164/843*V^9*U^15 - 24675162448/2529*V^7*U^18 + 24530211200/2529*V^5*U^21 - 36037110272/2529*V^3*U^24 + 22835396608/2529*V*U^27', '1'), ('624308/2529*V^15*U^6 - 2185078/281*V^13*U^9 - 165441620/2529*V^11*U^12 - 450750376/843*V^9*U^15 + 11052748832/2529*V^7*U^18 - 10987820800/2529*V^5*U^21 + 16142107648/2529*V^3*U^24 - 10228662272/2529*V*U^27', '1'), ('-16728/281*V^15*U^6 + 526932/281*V^13*U^9 + 4432920/281*V^11*U^12 + 36232848/281*V^9*U^15 - 296152512/281*V^7*U^18 + 294412800/281*V^5*U^21 - 432519168/281*V^3*U^24 + 274071552/281*V*U^27', '1'), ('26384/4215*V^15*U^6 - 277032/1405*V^13*U^9 - 1398352/843*V^11*U^12 - 19049248/1405*V^9*U^15 + 467102336/4215*V^7*U^18 - 92871680/843*V^5*U^21 + 682184704/4215*V^3*U^24 - 432275456/4215*V*U^27', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
FIRST	0	('X-2', 0)	(16,)	"(('-4543216/12645*V^14*U^7 + 206716328/12645*V^12*U^10 - 440691952/4215*V^10*U^13 + 10231322432/12645*V^8*U^16 - 30239645696/12645*V^6*U^19 + 581531648/4215*V^4*U^22 - 32565772288/12645*V^2*U^25', '1'), ('1682320/2529*V^14*U^7 - 76545560/2529*V^12*U^10 + 163185040/843*V^10*U^13 - 3788584640/2529*V^8*U^16 + 11197521920/2529*V^6*U^19 - 215336960/843*V^4*U^22 + 12058869760/2529*V^2*U^25', '1'), ('-1393762/2529*V^14*U^7 + 63416171/2529*V^12*U^10 - 135194914/843*V^10*U^13 + 3138752024/2529*V^8*U^16 - 9276879872/2529*V^6*U^19 + 178401536/843*V^4*U^22 - 9990486016/2529*V^2*U^25', '1'), ('624308/2529*V^14*U^7 - 28406014/2529*V^12*U^10 + 60557876/843*V^10*U^13 - 1405941616/2529*V^8*U^16 + 4155394048/2529*V^6*U^19 - 79911424/843*V^4*U^22 + 4475039744/2529*V^2*U^25', '1'), ('-16728/281*V^14*U^7 + 761124/281*V^12*U^10 - 4867848/281*V^10*U^13 + 37671456/281*V^8*U^16 - 111341568/281*V^6*U^19 + 6423552/281*V^4*U^22 - 119906304/281*V^2*U^25', '1'), ('26384/4215*V^14*U^7 - 1200472/4215*V^12*U^10 + 2559248/1405*V^10*U^13 - 59416768/4215*V^8*U^16 + 175611904/4215*V^6*U^19 - 3377152/1405*V^4*U^22 + 189120512/4215*V^2*U^25', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))"
