parameter_monomial	q_monomial	coefficient_exact
()	()	(('-126/25', '1'), ('171/25', '1'), ('-72/25', '1'), ('18/25', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
()	(14,)	(('964054/375*C^5*V*U^5 - 1439901736/375*C^4*V*U^7 + 3078605348/375*C^3*V^3*U^6 + 22586676476/375*C^3*V*U^9 - 208756457/50*C^2*V^5*U^5 + 9539133604/125*C^2*V^3*U^8 + 454791064/5*C^2*V*U^11 + 225504461/250*C*V^7*U^4 - 614623737/5*C*V^5*U^7 + 28640485692/125*C*V^3*U^10 + 6873285146/125*C*V*U^13 + 2131626133/250*V^7*U^6 - 28542336641/250*V^5*U^9 + 9748925004/125*V^3*U^12 + 3514169568/125*V*U^15', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('-533624/75*C^5*V*U^5 - 392437864/75*C^4*V*U^7 + 1960110152/75*C^3*V^3*U^6 + 1880106592/15*C^3*V*U^9 - 492486176/25*C^2*V^5*U^5 + 1031846088/5*C^2*V^3*U^8 + 4514319264/25*C^2*V*U^11 + 121367246/25*C*V^7*U^4 - 7096400584/25*C*V^5*U^7 + 11213131384/25*C*V^3*U^10 + 2506028616/25*C*V*U^13 + 103292826/25*V^7*U^6 - 3716253996/25*V^5*U^9 + 2380834092/25*V^3*U^12 + 1256046792/25*V*U^15', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('194376/25*C^5*V*U^5 + 73954608/25*C^4*V*U^7 - 13331136/25*C^3*V^3*U^6 + 66301872*C^3*V*U^9 - 5836194/25*C^2*V^5*U^5 + 1565242224/25*C^2*V^3*U^8 + 653410212/25*C^2*V*U^11 + 9751014/25*C*V^7*U^4 - 3128135556/25*C*V^5*U^7 + 10733599968/25*C*V^3*U^10 - 136277232/25*C*V*U^13 + 346175466/25*V^7*U^6 - 5927520144/25*V^5*U^9 + 5015383464/25*V^3*U^12 + 794120964/25*V*U^15', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('-116662/25*C^5*V*U^5 + 159979456/25*C^4*V*U^7 + 23085244/25*C^3*V^3*U^6 + 797708548/25*C^3*V*U^9 - 258152349/50*C^2*V^5*U^5 + 935266332/25*C^2*V^3*U^8 - 381683848/25*C^2*V*U^11 + 88108293/50*C*V^7*U^4 - 1363405953/25*C*V^5*U^7 + 4395831804/25*C*V^3*U^10 - 1000401038/25*C*V*U^13 - 312178503/50*V^7*U^6 - 2098365633/50*V^5*U^9 + 1409925244/25*V^3*U^12 + 3779048/5*V*U^15', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('38584/25*C^5*V*U^5 + 60552128/25*C^4*V*U^7 - 130840528/25*C^3*V^3*U^6 + 13775216/25*C^3*V*U^9 + 82873518/25*C^2*V^5*U^5 - 114122736/5*C^2*V^3*U^8 - 104121472/5*C^2*V*U^11 - 17465994/25*C*V^7*U^4 + 459733092/25*C*V^5*U^7 + 541112208/25*C*V^3*U^10 - 574391272/25*C*V*U^13 + 3244878/25*V^7*U^6 - 484619226/25*V^5*U^9 + 678689648/25*V^3*U^12 - 20104448/5*V*U^15', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('-30576/125*C^5*V*U^5 + 25347504/125*C^4*V*U^7 + 1773408/125*C^3*V^3*U^6 + 178441536/125*C^3*V*U^9 - 4448808/25*C^2*V^5*U^5 - 6971328/125*C^2*V^3*U^8 + 30637152/25*C^2*V*U^11 + 6696144/125*C*V^7*U^4 - 825552/5*C*V^5*U^7 - 472215744/125*C*V^3*U^10 - 127410192/125*C*V*U^13 - 110776848/125*V^7*U^6 + 705877536/125*V^5*U^9 - 414549408/125*V^3*U^12 - 127532496/125*V*U^15', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('-455000/3*C^2*V*U^5 - 910000/3*C*V*U^7 + 113750/3*V^5*U^3 + 910000/3*V^3*U^6 - 455000/3*V*U^9', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('-227500/3*C^2*V*U^5 - 455000/3*C*V*U^7 + 56875/3*V^5*U^3 + 455000/3*V^3*U^6 - 227500/3*V*U^9', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
(6,)	(14,)	(('-728/5*V^2*U^4', 'C^2 - 6*C*U^2 + 9*U^4'), ('-364/5*V^2*U^4', 'C^2 - 6*C*U^2 + 9*U^4'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
(8,)	(14,)	(('-728/5*C^4*U^6 + 728/5*C^3*V^2*U^5 - 182/5*C^2*V^4*U^4 - 728/5*C^2*V^2*U^7 + 4368/5*C^2*U^10 + 1092/5*C*V^4*U^6 - 26936/5*C*V^2*U^9 + 5824/5*C*U^12 - 728/5*V^6*U^5 + 21658/5*V^4*U^8 - 5096*V^2*U^11 + 2184/5*U^14', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('-364/5*C^4*U^6 + 364/5*C^3*V^2*U^5 - 91/5*C^2*V^4*U^4 - 364/5*C^2*V^2*U^7 + 2184/5*C^2*U^10 + 546/5*C*V^4*U^6 - 13468/5*C*V^2*U^9 + 2912/5*C*U^12 - 364/5*V^6*U^5 + 10829/5*V^4*U^8 - 2548*V^2*U^11 + 1092/5*U^14', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
(9,)	(14,)	(('2912/5*C^2*V*U^8 + 5824/5*C*V*U^10 - 2184/5*V^5*U^6 + 2912/5*V*U^12', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('1456/5*C^2*V*U^8 + 2912/5*C*V*U^10 - 1092/5*V^5*U^6 + 1456/5*V*U^12', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
(11,)	(14,)	(('-728/5*C^4*U^7 + 26208/5*C^3*V^2*U^6 - 24934/5*C^2*V^4*U^5 + 168896/5*C^2*V^2*U^8 - 1456*C^2*U^11 + 1274*C*V^6*U^4 - 127036/5*C*V^4*U^7 + 26208*C*V^2*U^10 + 5824*C*U^13 - 19838/5*V^6*U^6 + 69706/5*V^4*U^9 - 104832/5*V^2*U^12 + 37128/5*U^15', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('-364/5*C^4*U^7 + 13104/5*C^3*V^2*U^6 - 12467/5*C^2*V^4*U^5 + 84448/5*C^2*V^2*U^8 - 728*C^2*U^11 + 637*C*V^6*U^4 - 63518/5*C*V^4*U^7 + 13104*C*V^2*U^10 + 2912*C*U^13 - 9919/5*V^6*U^6 + 34853/5*V^4*U^9 - 52416/5*V^2*U^12 + 18564/5*U^15', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
(12,)	(14,)	(('24752/5*C^2*V^3*U^6 + 2912*C^2*V*U^9 - 24024/5*C*V^5*U^5 + 29120*C*V^3*U^8 + 5824*C*V*U^11 + 6188/5*V^7*U^4 - 136864/5*V^5*U^7 + 132496/5*V^3*U^10 + 2912*V*U^13', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('12376/5*C^2*V^3*U^6 + 1456*C^2*V*U^9 - 12012/5*C*V^5*U^5 + 14560*C*V^3*U^8 + 2912*C*V*U^11 + 3094/5*V^7*U^4 - 68432/5*V^5*U^7 + 66248/5*V^3*U^10 + 1456*V*U^13', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
(13,)	(14,)	(('-728*C^4*U^6 + 728*C^3*V^2*U^5 - 182*C^2*V^4*U^4 + 19656/5*C^2*V^2*U^7 + 4368*C^2*U^10 - 17836/5*C*V^4*U^6 + 5096/5*C*V^2*U^9 + 5824*C*U^12 + 2912/5*V^6*U^5 - 11102/5*V^4*U^8 - 2184*V^2*U^11 + 2184*U^14', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('-364*C^4*U^6 + 364*C^3*V^2*U^5 - 91*C^2*V^4*U^4 + 9828/5*C^2*V^2*U^7 + 2184*C^2*U^10 - 8918/5*C*V^4*U^6 + 2548/5*C*V^2*U^9 + 2912*C*U^12 + 1456/5*V^6*U^5 - 5551/5*V^4*U^8 - 1092*V^2*U^11 + 1092*U^14', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
(15,)	(14,)	(('728/5*C^5*U^6 - 1456/5*C^4*V^2*U^5 + 182/5*C^3*V^4*U^4 + 219128/5*C^3*V^2*U^7 - 4368/5*C^3*U^10 - 95732/5*C^2*V^4*U^6 + 1427608/5*C^2*V^2*U^9 - 40768/5*C^2*U^12 - 48048/5*C*V^6*U^5 - 474474/5*C*V^4*U^8 + 1312584/5*C*V^2*U^11 + 67704/5*C*U^14 + 28938/5*V^8*U^4 - 702156/5*V^6*U^7 + 838656/5*V^4*U^10 - 220584/5*V^2*U^13 + 104832/5*U^16', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('364/5*C^5*U^6 - 728/5*C^4*V^2*U^5 + 91/5*C^3*V^4*U^4 + 109564/5*C^3*V^2*U^7 - 2184/5*C^3*U^10 - 47866/5*C^2*V^4*U^6 + 713804/5*C^2*V^2*U^9 - 20384/5*C^2*U^12 - 24024/5*C*V^6*U^5 - 237237/5*C*V^4*U^8 + 656292/5*C*V^2*U^11 + 33852/5*C*U^14 + 14469/5*V^8*U^4 - 351078/5*V^6*U^7 + 419328/5*V^4*U^10 - 110292/5*V^2*U^13 + 52416/5*U^16', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
(16,)	(14,)	(('-728/5*C^3*V^3*U^5 - 136864/5*C^3*V*U^8 + 216944/5*C^2*V^3*U^7 - 230048/5*C^2*V*U^10 - 106288/5*C*V^5*U^6 + 1280552/5*C*V^3*U^9 - 49504/5*C*V*U^12 + 60606/5*V^7*U^5 - 1161888/5*V^5*U^8 + 1144416/5*V^3*U^11 + 8736*V*U^14', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('-364/5*C^3*V^3*U^5 - 68432/5*C^3*V*U^8 + 108472/5*C^2*V^3*U^7 - 115024/5*C^2*V*U^10 - 53144/5*C*V^5*U^6 + 640276/5*C*V^3*U^9 - 24752/5*C*V*U^12 + 30303/5*V^7*U^5 - 580944/5*V^5*U^8 + 572208/5*V^3*U^11 + 4368*V*U^14', 'C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'), ('0', '1'))
