denominator	multiplicity	first_label	factorization
1	862694	current_13_weight	[]
C	1337	current_13_first_only_multipliers	[('C', 1)]
C - 1/2	2	current_13_first_only_multipliers	[('2*C - 1', 1)]
C^10	922	current_13_first_only_multipliers	[('C', 10)]
C^10 - 17/2*C^9 + 24*C^8 - 26*C^7 + 12*C^6 - 2*C^5	1670	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 5), ('C^2 - 4*C + 2', 2)]
C^10 - 4*C^9 + 2*C^8	1192	current_13_first_only_multipliers	[('C', 8), ('C^2 - 4*C + 2', 1)]
C^10 - 9/2*C^9 + 4*C^8 - C^7	317	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 7), ('C^2 - 4*C + 2', 1)]
C^11	310	current_13_first_only_multipliers	[('C', 11)]
C^11 - 17/2*C^10 + 24*C^9 - 26*C^8 + 12*C^7 - 2*C^6	1898	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 6), ('C^2 - 4*C + 2', 2)]
C^11 - 4*C^10 + 2*C^9	1199	current_13_first_only_multipliers	[('C', 9), ('C^2 - 4*C + 2', 1)]
C^11 - 9/2*C^10 + 4*C^9 - C^8	315	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 8), ('C^2 - 4*C + 2', 1)]
C^12	83	current_13_first_only_multipliers	[('C', 12)]
C^12 - 17/2*C^11 + 24*C^10 - 26*C^9 + 12*C^8 - 2*C^7	1878	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 7), ('C^2 - 4*C + 2', 2)]
C^12 - 4*C^11 + 2*C^10	1054	current_13_raw_row	[('C', 10), ('C^2 - 4*C + 2', 1)]
C^12 - 9/2*C^11 + 4*C^10 - C^9	181	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 9), ('C^2 - 4*C + 2', 1)]
C^13	49	current_13_first_only_multipliers	[('C', 13)]
C^13 - 17/2*C^12 + 24*C^11 - 26*C^10 + 12*C^9 - 2*C^8	2009	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 8), ('C^2 - 4*C + 2', 2)]
C^13 - 4*C^12 + 2*C^11	752	current_13_raw_row	[('C', 11), ('C^2 - 4*C + 2', 1)]
C^13 - 9/2*C^12 + 4*C^11 - C^10	54	P12_first_multipliers	[('2*C - 1', 1), ('C', 10), ('C^2 - 4*C + 2', 1)]
C^13*V^2 - 4*C^12*V^2 + 4*C^11*V^2	3	current_13_first_rows	[('C', 11), ('C - 2', 2), ('V', 2)]
C^14	8	current_13_previous_reduced_rows	[('C', 14)]
C^14 - 17/2*C^13 + 24*C^12 - 26*C^11 + 12*C^10 - 2*C^9	2093	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 9), ('C^2 - 4*C + 2', 2)]
C^14 - 4*C^13 + 2*C^12	456	previous_('X-1', 0)_raw_row	[('C', 12), ('C^2 - 4*C + 2', 1)]
C^15 - 17/2*C^14 + 24*C^13 - 26*C^12 + 12*C^11 - 2*C^10	1906	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 10), ('C^2 - 4*C + 2', 2)]
C^15 - 4*C^14 + 2*C^13	448	previous_('X-1', 0)_raw_row	[('C', 13), ('C^2 - 4*C + 2', 1)]
C^15*V - 2*C^14*V	4	current_13_previous_reduced_rows	[('C', 14), ('C - 2', 1), ('V', 1)]
C^15*V^2 - 4*C^14*V^2 + 4*C^13*V^2	14	previous_('X-1', 14)_first_multipliers	[('C', 13), ('C - 2', 2), ('V', 2)]
C^15*V^2 - 8*C^14*V^2 + 22*C^13*V^2 - 24*C^12*V^2 + 8*C^11*V^2	5	current_13_raw_row	[('C', 11), ('C - 2', 2), ('C^2 - 4*C + 2', 1), ('V', 2)]
C^16 - 17/2*C^15 + 24*C^14 - 26*C^13 + 12*C^12 - 2*C^11	1366	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 11), ('C^2 - 4*C + 2', 2)]
C^16 - 4*C^15 + 2*C^14	461	previous_('X-1', 0)_raw_row	[('C', 14), ('C^2 - 4*C + 2', 1)]
C^16*V - 17/2*C^15*V + 24*C^14*V - 26*C^13*V + 12*C^12*V - 2*C^11*V	1	previous_('X-1', 0)_first_multipliers	[('2*C - 1', 1), ('C', 11), ('C^2 - 4*C + 2', 2), ('V', 1)]
C^17 - 17/2*C^16 + 24*C^15 - 26*C^14 + 12*C^13 - 2*C^12	548	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 12), ('C^2 - 4*C + 2', 2)]
C^17 - 4*C^16 + 2*C^15	446	previous_('X-1', 0)_raw_row	[('C', 15), ('C^2 - 4*C + 2', 1)]
C^18 - 17/2*C^17 + 24*C^16 - 26*C^15 + 12*C^14 - 2*C^13	40	current_13_first_only_multipliers	[('2*C - 1', 1), ('C', 13), ('C^2 - 4*C + 2', 2)]
C^18 - 4*C^17 + 2*C^16	366	previous_('X-1', 0)_raw_row	[('C', 16), ('C^2 - 4*C + 2', 1)]
C^19 - 4*C^18 + 2*C^17	265	previous_('X-1', 0)_raw_row	[('C', 17), ('C^2 - 4*C + 2', 1)]
