label	coordinate	numerator	denominator	numerator_factors	denominator_factors	numerator_U_order	denominator_U_order
Xminus1_11_residual	0	31268/75*x	1	[('x', 1)]	[]	1	0
Xminus1_11_residual	4	(-33234/25)*x	1	[('x', 1)]	[]	1	0
Xminus1_11_residual	8	37842/25*x	1	[('x', 1)]	[]	1	0
Xminus1_11_residual	12	(-23936/25)*x	1	[('x', 1)]	[]	1	0
Xminus1_11_residual	16	8448/25*x	1	[('x', 1)]	[]	1	0
Xminus1_11_residual	20	(-1536/25)*x	1	[('x', 1)]	[]	1	0
Xminus1_11_inverse	0	(-356784841081776723/4299367456921065428)	x	[]	[('x', 1)]	0	1
Xminus1_11_inverse	4	16738022303687267343/107484186423026635700	x	[]	[('x', 1)]	0	1
Xminus1_11_inverse	8	(-14543019012247144209/107484186423026635700)	x	[]	[('x', 1)]	0	1
Xminus1_11_inverse	12	3392810162167123521/53742093211513317850	x	[]	[('x', 1)]	0	1
Xminus1_11_inverse	16	(-419194466434428759/26871046605756658925)	x	[]	[('x', 1)]	0	1
Xminus1_11_inverse	20	44093568661531722/26871046605756658925	x	[]	[('x', 1)]	0	1
