denominator	multiplicity	first_label	factorization
1	310383	current_13_weight	(1, [])
C - 3*U^2	3388	current_13_first_multipliers	(1, [(C - 3*U^2, 1)])
C*U - 3*U^3	142	current_13_previous_rows	(1, [(U, 1), (C - 3*U^2, 1)])
C^2 - 6*C*U^2 + 9*U^4	20	current_13_first_multipliers	(1, [(C - 3*U^2, 2)])
C^3*U^2 - C^2*V^2*U + 3*C^2*U^4 + 1/4*C*V^4 - 2*C*V^2*U^3 - 13*C*U^6 - 3/4*V^4*U^2 + 15*V^2*U^5 - 15*U^8	921	current_13_first_multipliers	(1/4, [(C - 3*U^2, 1), (4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1)])
C^3*U^3 - C^2*V^2*U^2 + 3*C^2*U^5 + 1/4*C*V^4*U - 2*C*V^2*U^4 - 13*C*U^7 - 3/4*V^4*U^3 + 15*V^2*U^6 - 15*U^9	143	current_13_first_multipliers	(1/4, [(U, 1), (C - 3*U^2, 1), (4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1)])
C^3*U^4 - C^2*V^2*U^3 + 3*C^2*U^6 + 1/4*C*V^4*U^2 - 2*C*V^2*U^5 - 13*C*U^8 - 3/4*V^4*U^4 + 15*V^2*U^7 - 15*U^10	8	current_13_first_multipliers	(1/4, [(C - 3*U^2, 1), (4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1), (U, 2)])
C^4*U^2 - C^3*V^2*U + 1/4*C^2*V^4 + C^2*V^2*U^3 - 22*C^2*U^6 - 3/2*C*V^4*U^2 + 21*C*V^2*U^5 + 24*C*U^8 + 9/4*V^4*U^4 - 45*V^2*U^7 + 45*U^10	6557	current_13_first_multipliers	(1/4, [(4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1), (C - 3*U^2, 2)])
C^4*U^3 - C^3*V^2*U^2 + 1/4*C^2*V^4*U + C^2*V^2*U^4 - 22*C^2*U^7 - 3/2*C*V^4*U^3 + 21*C*V^2*U^6 + 24*C*U^9 + 9/4*V^4*U^5 - 45*V^2*U^8 + 45*U^11	981	current_13_first_multipliers	(1/4, [(U, 1), (4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1), (C - 3*U^2, 2)])
C^4*U^4 - C^3*V^2*U^3 + 1/4*C^2*V^4*U^2 + C^2*V^2*U^5 - 22*C^2*U^8 - 3/2*C*V^4*U^4 + 21*C*V^2*U^7 + 24*C*U^10 + 9/4*V^4*U^6 - 45*V^2*U^9 + 45*U^12	57	current_13_first_multipliers	(1/4, [(4*C^2*U^2 - 4*C*V^2*U + 24*C*U^4 + V^4 - 20*V^2*U^3 + 20*U^6, 1), (U, 2), (C - 3*U^2, 2)])
U	2300	current_13_first_multipliers	(1, [(U, 1)])
