denominator	multiplicity	first_label	factorization
1	889244	current_13_weight	[]
U	1415	current_13_first_only_multipliers	[('U', 1)]
V	3398	current_13_first_only_multipliers	[('V', 1)]
V*U	24	P12_raw	[('U', 1), ('V', 1)]
V^4 + 8*V^2*U^3 - 64*U^6	381	current_13_first_only_multipliers	[('V^4 + 8*V^2*U^3 - 64*U^6', 1)]
V^4 - 32*V^2*U^3 + 128*U^6	9580	current_13_first_only_multipliers	[('V^4 - 32*V^2*U^3 + 128*U^6', 1)]
V^4*U + 8*V^2*U^4 - 64*U^7	14	previous_('X-1', 14)_first_multipliers	[('U', 1), ('V^4 + 8*V^2*U^3 - 64*U^6', 1)]
V^4*U - 32*V^2*U^4 + 128*U^7	476	current_13_first_only_multipliers	[('U', 1), ('V^4 - 32*V^2*U^3 + 128*U^6', 1)]
V^4*U^2 - 32*V^2*U^5 + 128*U^8	33	current_13_first_only_multipliers	[('U', 2), ('V^4 - 32*V^2*U^3 + 128*U^6', 1)]
V^5 - 32*V^3*U^3 + 128*V*U^6	8967	current_13_first_only_multipliers	[('V', 1), ('V^4 - 32*V^2*U^3 + 128*U^6', 1)]
V^5*U - 32*V^3*U^4 + 128*V*U^7	408	current_13_first_only_multipliers	[('U', 1), ('V', 1), ('V^4 - 32*V^2*U^3 + 128*U^6', 1)]
V^5*U^2 - 32*V^3*U^5 + 128*V*U^8	21	current_13_first_only_multipliers	[('U', 2), ('V', 1), ('V^4 - 32*V^2*U^3 + 128*U^6', 1)]
V^6*U - 32*V^4*U^4 + 128*V^2*U^7	1	V44_P12_termwise_clear	[('U', 1), ('V', 2), ('V^4 - 32*V^2*U^3 + 128*U^6', 1)]
V^8 - 24*V^6*U^3 - 192*V^4*U^6 + 3072*V^2*U^9 - 8192*U^12	90	current_13_first_only_multipliers	[('V^4 + 8*V^2*U^3 - 64*U^6', 1), ('V^4 - 32*V^2*U^3 + 128*U^6', 1)]
V^8*U - 24*V^6*U^4 - 192*V^4*U^7 + 3072*V^2*U^10 - 8192*U^13	28	current_13_first_only_multipliers	[('U', 1), ('V^4 + 8*V^2*U^3 - 64*U^6', 1), ('V^4 - 32*V^2*U^3 + 128*U^6', 1)]
V^9 - 24*V^7*U^3 - 192*V^5*U^6 + 3072*V^3*U^9 - 8192*V*U^12	104	current_13_first_only_multipliers	[('V', 1), ('V^4 + 8*V^2*U^3 - 64*U^6', 1), ('V^4 - 32*V^2*U^3 + 128*U^6', 1)]
