kind	index	key	full_sha256	beta_zero_sha256
P12	12	('X0_RAW', 12)	ca69df8acbad9e4ed61b1d0346c659f0f8ada5275fe693a3e25b8452bb968a7f	8d5c3550fbad393c1e13061d9934ed79e29261db378f1d344c4ea5e587e704da
FIRST	0	('X-2', 0)	77ea6f46dba4b64e6b9dedc26eb9cf3f1cbb1ef47c69f5d8f48bc85100ec4905	03e544bdcd69da45d86dea156a83a46a961d818a441f534392329596413e2d19
FIRST	1	('X-2', 1)	6727faeb575640fadef0fa1c2909afea246e2ed90b6c348787cf39ef949707d2	dcdd05263fcbf9a8e88cb38b3bc09a3e7670a96829031a5127af48242900071f
FIRST	2	('X-2', 2)	7a9857796344bfcb7cab07d405453ea57b755744c4a353b59b17cb4886d1f7b0	37427988f3ac8193170d972147a369556bab39925c80ac53d1823af2ef0b070f
FIRST	3	('X-2', 3)	01977539bcc851949f927009e09c1ec8c0b6f2ace8fea7cafabd53a04778f95c	5e9f890534062963a62307874adeb3977812b247bc7e984aaa2c178077077db7
FIRST	4	('X-2', 4)	136e2dd8880ba08517d88c4af76942b9880a81f6de22a6c77da64f331dded20f	fb285d54c82d15a95777f59d554b13a493dc7d97d5b0e9a3d1040bc51210ee82
FIRST	5	('X-2', 5)	2a1b4da7edc079b00341a9ad7cabd570fa589cc23d3760f50f75eed6aa591c65	24203c3ec0905e06b3399efffad65edcde697f07e92088868f0cc4a432b01680
FIRST	6	('X-2', 6)	951e9111b6ff0337c43518f261c4d6a356210428053002142e46d99d7cba8647	46aba8727c85b74d8cabfd157cb3a21c093ab278ac63b6cac28a9197cd5ccf26
FIRST	7	('X-2', 7)	5a7fb016f59d30919774e45302ceeba028219289e51b789012f8dfc535404db0	68553560a198cc6494ac7afd19a0a6bbacc83d4d5cdb29cab0d99199cb4e380f
FIRST	8	('X-2', 8)	2a9631d5faee8b69359dd6debf6355c419482d463facc1d28166d165a025e20f	b72b7632b2ba93f377a6e8aa1a17b22f90c8fce07f2067c67abf5393b4ba9e93
FIRST	9	('X-2', 9)	d90100248a7069f9ddecaf19b852e39c2c5f71dfd0527b13eae2b1350d82f121	b593a2ab8daf9cb3ce57a842876c305c44a8e0b20f9371f9cf4cdf790f2c9548
FIRST	10	('X-2', 10)	11403a2aebdf34fca42f08237f329eab5fd74fdf2d2a90c83beaf90031bb36ac	03fe12827a6ac035a75e34c7d2174d024cc5ca67dc55f1cb95213a041a63574f
FIRST	11	('X-2', 11)	e868241e5883d6b0677f1b28fb47bcbfbdce5cc80d7906f4591fc150640cd326	a35fe8b35a110aae9e7acea145b3739205835927a2d107ca595054e983a0500d
FIRST	12	('X-2', 12)	b9df7b3df0e47a8c68bb00e8b5941c55a8583d895760a2e825a53e300c0c1ccf	ee4ec1f4c1c6ff63c0525af81bdb5ff27bce5787b1246d2e2d99effd9e3dad42
FIRST	13	('X-2', 13)	da6882fe7635b2df97d9231e9339c5ab8d5dfa8bae2471b9a6f9eed6eaadfbf4	9bed3e29aa4b9cc6b85ad915c9cff5867c533c9abf7868afa09db01d6a81caac
FIRST	14	('X-2', 14)	f58fcf426f720d432cb501aafd6de2a8e2f6418a485b3f1287b06cbc66095b2e	d90902aeb9c2417dba0f76f341d6a3a85c0d1dd1034a73afbc381ab89143ee79
FIRST	15	('X-2', 15)	3ca0ee979261d684784d916533a06e30af595d4d3578518d88f1d64016762558	07d95613f1e5f28b1f7e7c3a129b9a7c3625ff3c9bda7aa210bdfbbc1651cf3c
FIRST	16	('X-2', 16)	faa37e8820468686c92a057e1fea3c7cb48db9921e9c5b91b5cc99f2e0fe224e	774969231a69da4baa2318e0fef6a9bf9578dc2df219534d5d08d305f8edc306
FIRST	17	('X-2', 17)	eb97c519f17949bc39ba73a17631716ad26d4dc77075c09e99f132b5a4579b23	9439d0be4153e561ada20eec9c9692ea9bebfb0d542d1a924bc6f95607df46de
FIRST	18	('X-2', 18)	0cf60895f9baebd955d27ebbcd7a2a6ee1cef93f466b5c24c022b54f976c1d4d	ccb559191c247b8e72bf6a5a7d5ead08e98d1183817c50ddd90d91e23d4263da
FIRST	19	('X-2', 19)	4319e232b64f7f9742f0c5216bba50b10b30a5e18951d61fd18943e2ea5194a0	ba974c4604603dac8a5a12f04d6cc2c176402d3e160671ebbca552e848fe8a8b
FIRST	20	('X-2', 20)	b1f584f5db45b7d00548002701dbdac07a17fba7f721bc4101628010e3632905	813df4fe52cbcd4c0ca51b84de742602625140dfd926fdfed33a3d287c79f775
FIRST	21	('X-2', 21)	904e3b96d0f800f8b6116b655cda671c1abfa88371c1851fbabb3b25731a5d00	69429c35386eeedc20c93e337e7bf19762ad5b281d57034a4e9b52a58bba6f13
FIRST	22	('X-2', 22)	33cd78b0b12dcda6ed7c1ecaff5240d099af4819aa59552694567841912453a3	6e4393102f60dbef550c4466d81eafcc12ad9d25f88ef25e83a244f0d8e48c9d
