generator	parameter_terms	coefficient_terms	full_sha256
F	2797	2797	5f429f959e71b89a39c8c4317765f71c627550c2754db7ffd7a5f6f9043f4ab9
q2	3330	3330	fee93555830c81f6589c0a11475cfc3a7c254fbcff081672721d6b5a3731d9a2
q3	3389	3389	1dc23ce1dc9b1dbe98e9eb982d81c17eb796b90b0a5ccd9a166a03130d29e05f
q4	3437	3437	c2d48d23a418342bd0ed1791d6d9a2f1d1a0829b3594c9dfe8fdff86faeab1b0
q5	3126	3126	ee7eb35ae721a6da8198492fa2807069c244e065233de99d8a71032a7a21cb7b
q6	3158	3158	d23ed85efe17c606ad32577cadbecf3dd8a5c2248128ee174d08ceb36d254fb0
q7	3191	3191	843d4c25307523dce6538164db2ba75a431e862454203caee698bca189d7cccc
q8	3213	3213	76e612382231d58d94a22055bd86a8b286e8712f2d3dfd13ffbf6c449c8458f6
q9	3243	3243	279dcd17aaa6bb7bedbdf990c08fe56583b8e3b7f7fc9ed8c36a53532d8d10a1
q10	3279	3279	09afb874b02490070285691303be71ee542813d7d865feb08127638aca06a672
q11	3318	3318	b730a083f391fc0934fccebad12a4293aaf09c7a86a5da26f35ecc0709cc621f
q12	3364	3364	f82fbfa90c133a93da441e596df70f68fa5e43847d52a62752cdc4cda91e0bdb
q13	3410	3410	9125494fdeaf1f844a6b573d3507fe0ab9780ff74b89df9f716e4d4a761c9515
q14	3453	3453	cbebdf1b6c7a5ce660784250c47bb44d2c824eefde6425f69c9d9925039c8b54
q16	358	358	f4534f16d6507377d2d06a37caa789125b174aa2c43ae035d3e7802e4a035486
q17	376	376	e50c07b0c7b4b6ac7b6cd9cf213ae189eb58220e790c83b6deb5dd86edc024c4
q18	387	387	d4bc117eff7d97b7c7de11d16abdef81881d7e1f5efa70218fa7c501da798e22
q19	391	391	d6dbbafb3f509ff567602adba10d14377cb5b19342d33520e123c1bbfe8c295f
q20	391	391	988dae31f34ecfc0e13e02dde2fefaa9fde4563ca0a7e3d47cdaf073047ac9e3
q21	391	391	11f97bc55e9b4987d4a502dd5819f03a8f892baca2445c03e3d591e6fcc53a4b
q22	391	391	755364cae4af5410cd4c9d7339eb8df167aa93ba5bc827218cbe0d44169639f8
q23	391	391	ec5e4832312b5d1e3fec2be77c8b70d325738771b3c7154b9a1877a02871a0ad
q24	391	391	095326c4f853e373025f73596f41fbfe8b3d2e288f16b51c550884f648dd9006
