# Q2-l8 leaf 6/13 (SHEET6-R1.md 19.5): parent = systems/r1/r1_q2_l8_p105673.ms (243-corrected)
# first-nonzero cascade, order ['bf_20', 'bg42_20', 'bg21_20', 'bf_21', 'bg42_21', 'bf_22', 'bg42_22', 'bg21_22', 'bf_23', 'bg42_23', 'uf24', 'bg42_24', 'bg21_24']
# ZEROED prefix (5): ['bf_20', 'bg42_20', 'bg21_20', 'bf_21', 'bg42_21']
# PIVOT (!= 0, Rabinowitsch ubf_22): bf_22 (slot 10)
# rows = the 19 parent rows with zeroed-prefix terms dropped (defining rows restricted the same way) + the pivot saturation; E6 literal reduced into [0,p) (AUDIT standing rule).
eq0 = quadric 2HW1^2-3W1^2
eq1 = quadric 2HW2^2-3W2^2
eq2 = chart uW1*W1-1
eq3 = chart uW2*W2-1
eq4 = relation E (13.1 core residual on the UU chart)
eq5 = defining row bf_18 (kept back-map value, leaf-restricted)
eq6 = defining row bf_24 (kept back-map value, leaf-restricted)
eq7 = defining row bf_30 (kept back-map value, leaf-restricted)
eq8 = Q2-quot n=2 s=60 (WF - s1F*c_n, leaf-restricted)
eq9 = Q2-quot n=9 s=60 (WF - s1F*c_n, leaf-restricted)
eq10 = Q2-quot n=16 s=60 (WF - s1F*c_n, leaf-restricted)
eq11 = Q2-quot n=23 s=60 (WF - s1F*c_n, leaf-restricted)
eq12 = Q2-quot n=30 s=60 (WF - s1F*c_n, leaf-restricted)
eq13 = Q2-quot n=37 s=60 (WF - s1F*c_n, leaf-restricted)
eq14 = Q2-quot n=44 s=60 (WF - s1F*c_n, leaf-restricted)
eq15 = E5-quartic pole 1 (HM restored, W symbolic)
eq16 = E5-quartic pole 2 (HM restored, W symbolic)
eq17 = E6-tie cube form 2^24 HM^3 = 7^48 s1F^3 ([0,p)-reduced)
eq18 = SAT s1F (Rabinowitsch)
eq19 = SAT pivot bf_22 != 0 (Rabinowitsch, leaf chart)
