CONDITIONAL on EXACT-N	D	m	M_tuple	V_s	u	e	branch_type_count	distinct_weight_count	distinct_weights
CONDITIONAL on EXACT-N	105	42	-35,103	4	12	5	12	12	85/237,740/1027,171/158,3080/2133,2425/1343,7020/3239,4795/1896,2512/869,7965/2449,19700/5451,11935/3002,360/83
CONDITIONAL on EXACT-N	105	42	-35,103	5	15	5	15	15	85/99,740/429,57/22,280/81,2425/561,2340/451,4795/792,2512/363,2655/341,19700/2277,1085/114,9480/913,3341/297,38780/3201,675/52
CONDITIONAL on EXACT-N	105	42	-35,103	6	18	5	18	18	25/21,3700/1547,855/238,2200/459,12125/2023,35100/4879,3425/408,12560/1309,39825/3689,98500/8211,8525/646,142200/9877,16705/1071,27700/1649,111375/6188,253600/13209,8425/413,108/5
CONDITIONAL on EXACT-N	105	42	-28,103	4	12	5	12	12	16/45,28/39,27/25,584/405,92/51,444/205,91/36,2384/825,504/155,748/207,1133/285,360/83
CONDITIONAL on EXACT-N	105	42	-28,103	5	15	5	15	15	40/47,1050/611,243/94,1460/423,3450/799,9990/1927,2275/376,3576/517,11340/1457,9350/1081,16995/1786,40500/3901,1586/141,55230/4559,675/52
CONDITIONAL on EXACT-N	105	42	-28,103	6	18	5	18	18	400/339,3500/1469,405/113,14600/3051,11500/1921,33300/4633,11375/1356,11920/1243,37800/3503,93500/7797,28325/2147,135000/9379,15860/1017,184100/10961,52875/2938,240800/12543,136000/6667,108/5
CONDITIONAL on EXACT-N	105	42	-14,103	4	12	5	12	12	70/201,620/871,72/67,2600/1809,2050/1139,5940/2747,1015/402,2128/737,6750/2077,16700/4623,5060/1273,360/83
CONDITIONAL on EXACT-N	105	42	-14,103	5	15	5	15	15	5/6,155/91,18/7,650/189,1025/238,1485/287,145/24,76/11,3375/434,4175/483,1265/133,6030/581,1417/126,1175/97,675/52
CONDITIONAL on EXACT-N	105	42	-14,103	6	18	5	18	18	350/303,3100/1313,360/101,13000/2727,10250/1717,29700/4141,5075/606,10640/1111,33750/3131,83500/6969,25300/1919,120600/8383,14170/909,164500/9797,23625/1313,215200/11211,121550/5959,108/5
CONDITIONAL on EXACT-N	105	42	-7,103	4	12	5	12	12	65/189,580/819,15/14,2440/1701,275/153,620/287,545/216,2000/693,705/217,15700/4347,9515/2394,360/83
CONDITIONAL on EXACT-N	105	42	-7,103	5	15	5	15	15	65/79,1740/1027,405/158,2440/711,5775/1343,16740/3239,3815/632,6000/869,19035/2449,15700/1817,28545/3002,68040/6557,2665/237,92820/7663,675/52
CONDITIONAL on EXACT-N	105	42	-7,103	6	18	5	18	18	65/57,580/247,135/38,2440/513,1925/323,5580/779,3815/456,2000/209,6345/589,15700/1311,9515/722,22680/1577,2665/171,30940/1843,17775/988,40480/2109,22865/1121,108/5
CONDITIONAL on EXACT-N	105	42	7,103	4	12	5	12	12	1/3,100/143,117/110,424/297,335/187,972/451,665/264,1744/605,1107/341,2740/759,151/38,360/83
CONDITIONAL on EXACT-N	105	42	7,103	5	15	5	15	15	55/69,500/299,117/46,2120/621,1675/391,4860/943,3325/552,1744/253,5535/713,13700/1587,8305/874,19800/1909,2327/207,27020/2231,675/52
CONDITIONAL on EXACT-N	105	42	7,103	6	18	5	18	18	275/249,2500/1079,585/166,10600/2241,8375/1411,24300/3403,16625/1992,8720/913,27675/2573,68500/5727,41525/3154,99000/6889,11635/747,135100/8051,77625/4316,176800/9213,99875/4897,108/5
CONDITIONAL on EXACT-N	105	42	14,103	4	12	5	12	12	50/153,460/663,18/17,1960/1377,1550/867,1500/697,385/153,1616/561,1710/527,12700/3519,3850/969,360/83
CONDITIONAL on EXACT-N	105	42	14,103	5	15	5	15	15	25/32,345/208,81/32,245/72,2325/544,3375/656,385/64,303/44,7695/992,3175/368,5775/608,6885/664,1079/96,18795/1552,675/52
CONDITIONAL on EXACT-N	105	42	14,103	6	18	5	18	18	250/231,2300/1001,270/77,1400/297,7750/1309,22500/3157,25/3,8080/847,25650/2387,63500/5313,250/19,91800/6391,10790/693,17900/1067,18000/1001,164000/8547,92650/4543,108/5
CONDITIONAL on EXACT-N	105	42	28,103	4	12	5	12	12	40/129,380/559,45/43,1640/1161,1300/731,3780/1763,1295/516,1360/473,4320/1333,10700/2967,3245/817,360/83
CONDITIONAL on EXACT-N	105	42	28,103	5	15	5	15	15	20/27,190/117,5/2,820/243,650/153,210/41,1295/216,680/99,240/31,5350/621,3245/342,860/83,910/81,10570/873,675/52
CONDITIONAL on EXACT-N	105	42	28,103	6	18	5	18	18	40/39,380/169,45/13,1640/351,100/17,3780/533,1295/156,1360/143,4320/403,10700/897,3245/247,15480/1079,140/9,21140/1261,6075/338,27680/1443,15640/767,108/5
CONDITIONAL on EXACT-N	105	42	35,103	4	12	5	12	12	35/117,340/507,27/26,1480/1053,1175/663,1140/533,2345/936,112/39,1305/403,9700/2691,5885/1482,360/83
CONDITIONAL on EXACT-N	105	42	35,103	5	15	5	15	15	5/7,1020/637,243/98,1480/441,3525/833,10260/2009,335/56,48/7,11745/1519,9700/1127,17655/1862,42120/4067,1651/147,8220/679,675/52
CONDITIONAL on EXACT-N	105	42	35,103	6	18	5	18	18	175/177,1700/767,405/118,7400/1593,5875/1003,17100/2419,11725/1416,560/59,19575/1829,48500/4071,29425/2242,70200/4897,8255/531,95900/5723,55125/3068,125600/6549,70975/3481,108/5
CONDITIONAL on EXACT-N	105	42	49,103	4	12	5	12	12	25/93,20/31,63/62,1160/837,925/527,2700/1271,1855/744,976/341,3105/961,7700/2139,4675/1178,360/83
CONDITIONAL on EXACT-N	105	42	49,103	5	15	5	15	15	25/39,20/13,63/26,1160/351,925/221,2700/533,1855/312,976/143,3105/403,7700/897,4675/494,11160/1079,101/9,15260/1261,675/52
CONDITIONAL on EXACT-N	105	42	49,103	6	18	5	18	18	125/141,100/47,315/94,5800/1269,4625/799,13500/1927,9275/1128,4880/517,15525/1457,38500/3243,23375/1786,55800/3901,6565/423,76300/4559,3375/188,100000/5217,56525/2773,108/5
CONDITIONAL on EXACT-N	105	42	56,103	4	12	5	12	12	20/81,220/351,1,1000/729,800/459,260/123,805/324,848/297,100/31,6700/1863,2035/513,360/83
CONDITIONAL on EXACT-N	105	42	56,103	5	15	5	15	15	10/17,330/221,81/34,500/153,1200/289,3510/697,805/136,1272/187,4050/527,3350/391,6105/646,14580/1411,572/51,19950/1649,675/52
CONDITIONAL on EXACT-N	105	42	56,103	6	18	5	18	18	100/123,1100/533,135/41,5000/1107,4000/697,11700/1681,4025/492,4240/451,13500/1271,33500/2829,10175/779,48600/3403,5720/369,66500/3977,19125/1066,87200/4551,49300/2419,108/5
